ID,Imprint,Status,Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,analysis_id,Grouping
12,ZFAT,Paternal,Standing height,50,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280946,,2.37E-07,0.011722551,continuous-50-both_sexes--irnt,Anthropometric
13,ZFAT,Paternal,Seated height,51,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,6.62E-07,0.012900196,continuous-51-both_sexes--irnt,Anthropometric
14,ZFAT,Paternal,Sitting height,20015,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,1.19E-06,0.012191487,continuous-20015-both_sexes--irnt,Anthropometric
43,DSCAM,Paternal,Platelet count,30080,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273542,,3.54E-05,0.029922985,continuous-30080-both_sexes--irnt,Blood
15,ZFAT,Paternal,O14.2 Sentinel lymph node,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2064,151284,2.25E-05,0.102942977,categorical-41210-both_sexes-O142-,Cancer
9,MEST,Paternal,I34 Nonrheumatic mitral valve disorders,131322,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,2445,279140,5.75E-07,0.18398555,icd_first_occurrence-131322-both_sexes--,Cardiovascular
10,MEST,Paternal,I47 Paroxysmal tachycardia,131348,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,3399,278186,2.65E-05,0.154185183,icd_first_occurrence-131348-both_sexes--,Cardiovascular
38,CMTM1,Paternal,Atorvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,8252,273291,8.76E-05,0.040207706,categorical-20003-both_sexes-1141146234-,Drug Response
42,DSCAM,Paternal,Co-codamol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,6582,274961,8.30E-06,0.141113252,categorical-20003-both_sexes-1140923346-,Drug Response
30,MKRN3,Paternal,Age when periods started (menarche),2714,continuous,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,149031,,6.56E-05,-0.002597689,continuous-2714-both_sexes--,Female reproductive system
37,CMTM1,Paternal,Age at death,40007,continuous,,Health-related outcomes > Death register,,7730,,1.52E-07,0.025154214,continuous-40007-both_sexes--irnt,Longevity
34,SNRPN,Paternal,Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243015,,2.90E-05,0.065697008,continuous-30850-both_sexes--irnt,Male reproductive system
3,LRRTM1,Paternal,Recent feelings of depression,20510,continuous,,Online follow-up > Mental health > Depression,,93049,,1.53E-05,0.048631503,continuous-20510-both_sexes--,Mental or Behavioural Disorder
11,MEST,Paternal,Recent poor appetite or overeating,20511,continuous,,Online follow-up > Mental health > Depression,,93231,,4.86E-05,0.018446933,continuous-20511-both_sexes--,Mental or Behavioural Disorder
