ID,Imprinted Gene,Gene,Paternal/Maternal,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
1562,KCNQ1,KCNQ1,Maternal,rs2237898-<b>C</b>,7 x 10-6,,NR,'-,0.0475146 unit decrease,[0.027-0.068],"KCNQ1, KCNQ1-AS1",Mosquito bite size,mosquito bite reaction size measurement,GCST004863,11:2842590,Allergy
1908,KCNQ1,KCNQ1-AS1,Maternal,rs2237898-<b>C</b>,7 x 10-6,,NR,'-,0.0475146 unit decrease,[0.027-0.068],"KCNQ1, KCNQ1-AS1",Mosquito bite size,mosquito bite reaction size measurement,GCST004863,11:2842590,Allergy
2267,MAGI2,MAGI2,Maternal,rs1829991-<b>T</b>,3 x 10-6,,NR,'-,0.0375389 unit decrease,[0.022-0.053],MAGI2,Itch intensity from mosquito bite adjusted by bite size,"mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement",GCST004862,7:78195621,Allergy
2386,NTM,NTM,Maternal,rs693249-<b>G</b>,5 x 10-6,,NR,'-,0.0180037 unit increase,[0.01-0.026],NTM,Itch intensity from mosquito bite adjusted by bite size,"mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement",GCST004862,11:131877289,Allergy
2387,NTM,NTM,Maternal,rs56184986-<b>T</b>,2 x 10-6,,NR,'-,0.0318671 unit increase,[0.019-0.045],"AP000844.2, NTM",Itch intensity from mosquito bite adjusted by bite size,"mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement",GCST004865,11:131888276,Allergy
19,ANO1,ANO1,Maternal,rs1876-<b>?</b>,5 x 10-14,,NR,'-,'-,'-,ANO1,Height,body height,GCST007841,11:70174662,Anthropometric
263,DLX5,DLX5,Maternal,rs1724298-<b>T</b>,3 x 10-29,,0.891048,'-,0.0332063 unit decrease,[0.027-0.039],"DLX5, DLX6-AS1",Heel bone mineral density,heel bone mineral density,GCST006979,7:97017872,Anthropometric
264,DLX5,DLX5,Maternal,rs1724298-<b>T</b>,7 x 10-10,,0.890544,'-,0.0328463 unit decrease,[0.022-0.043],"DLX5, DLX6-AS1",Heel bone mineral density,heel bone mineral density,GCST006288,7:97017872,Anthropometric
265,DLX5,DLX5,Maternal,rs1724298-<b>T</b>,2 x 10-6,(women),0.89082,'-,0.0350508 unit decrease,[0.021-0.05],"DLX5, DLX6-AS1",Heel bone mineral density,heel bone mineral density,GCST006288,7:97017872,Anthropometric
266,DLX5,DLX5,Maternal,rs1724298-<b>?</b>,5 x 10-27,,NR,'-,'-,'-,"DLX5, DLX6-AS1",Heel bone mineral density,heel bone mineral density,GCST007066,7:97017872,Anthropometric
267,DLX5,DLX5,Maternal,rs1724298-<b>?</b>,1 x 10-25,,NR,'-,0.0342394 unit decrease,[0.028-0.041],"DLX5, DLX6-AS1",Heel bone mineral density,heel bone mineral density,GCST006433,7:97017872,Anthropometric
268,DLX5,DLX5,Maternal,rs3757493-<b>T</b>,1 x 10-8,(European),0.424,'-,0.0359 unit decrease,'-,"SDHAF3, DLX5",Total body bone mineral density,bone density,GCST005348,7:97027260,Anthropometric
269,DLX5,DLX5,Maternal,rs6960249-<b>T</b>,1 x 10-8,,0.5909,'-,0.0325 unit increase,'-,"DLX5, SDHAF3",Total body bone mineral density,bone density,GCST005348,7:97030820,Anthropometric
270,DLX5,DLX5,Maternal,rs78456152-<b>?</b>,8 x 10-24,,NR,'-,0.0217886 unit increase,[0.018-0.026],"DLX5, SDHAF3",Heel bone mineral density,heel bone mineral density,GCST006433,7:97089060,Anthropometric
271,DLX5,DLX5,Maternal,rs7811543-<b>?</b>,1 x 10-15,,NR,'-,'-,'-,"SDHAF3, DLX5",Heel bone mineral density,heel bone mineral density,GCST007066,7:97089586,Anthropometric
272,DLX5,DLX5,Maternal,rs6958059-<b>A</b>,8 x 10-20,,0.634932,'-,0.0175454 unit increase,[0.014-0.021],"DLX5, SDHAF3",Heel bone mineral density,heel bone mineral density,GCST006979,7:97092729,Anthropometric
857,H19,H19,Maternal,rs6578985-<b>?</b>,6 x 10-6,"(AAM-CT, EA)",NR,'-,'-,'-,"H19, IGF2",Femoral neck bone geometry and menarche (age at onset),age at menopause,GCST001950,11:2116909,Anthropometric
858,H19,H19,Maternal,rs6578987-<b>?</b>,3 x 10-6,"(AAM-CT, Chinese)",NR,'-,'-,'-,"H19, IGF2",Femoral neck bone geometry and menarche (age at onset),age at menopause,GCST001950,11:2116909,Anthropometric
1533,KCNK9,KCNK9,Maternal,rs2014712-<b>?</b>,5 x 10-9,,NR,'-,'-,'-,KCNK9,Height,body height,GCST007841,8:139628391,Anthropometric
1563,KCNQ1,KCNQ1,Maternal,rs116895106-<b>A</b>,2 x 10-6,,0.0104,'-,0.2653 unit increase,[0.16-0.37],KCNQ1,Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST008159,11:2469330,Anthropometric
1564,KCNQ1,KCNQ1,Maternal,rs2283163-<b>?</b>,4 x 10-8,,NR,'-,'-,'-,KCNQ1,Height,body height,GCST007841,11:2555665,Anthropometric
1565,KCNQ1,KCNQ1,Maternal,rs7128926-<b>?</b>,9 x 10-10,,NR,'-,'-,'-,"KCNQ1OT1, KCNQ1",Height,body height,GCST007841,11:2675514,Anthropometric
1566,KCNQ1,KCNQ1,Maternal,rs3216306-<b>?</b>,3 x 10-14,,NR,'-,0.03431111 unit decrease,[0.025-0.043],KCNQ1,Height,body height,GCST008839,11:2705478,Anthropometric
1567,KCNQ1,KCNQ1,Maternal,rs67886747-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,KCNQ1,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,11:2719704,Anthropometric
1568,KCNQ1,KCNQ1,Maternal,rs2283208-<b>?</b>,2 x 10-6,,NR,4.0412416,'-,'-,KCNQ1,Obesity without metabolic disease,metabolically healthy obesity,GCST006492,11:2722629,Anthropometric
1569,KCNQ1,KCNQ1,Maternal,rs231906-<b>?</b>,5 x 10-7,(men),0.4329,'-,'-,'-,KCNQ1,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),"BMI-adjusted waist circumference, physical activity measurement",GCST004563,11:2731379,Anthropometric
1570,KCNQ1,KCNQ1,Maternal,rs231906-<b>G</b>,4 x 10-7,(men),0.4329,'-,0.0284 cm increase,[0.017-0.039],KCNQ1,Waist circumference adjusted for body mass index,"BMI-adjusted waist circumference, physical activity measurement",GCST004562,11:2731379,Anthropometric
1571,KCNQ1,KCNQ1,Maternal,rs231906-<b>G</b>,2 x 10-8,(women),0.4329,'-,0.0315 cm increase,[0.021-0.042],KCNQ1,Waist circumference adjusted for body mass index,"BMI-adjusted waist circumference, physical activity measurement",GCST004562,11:2731379,Anthropometric
1572,KCNQ1,KCNQ1,Maternal,rs231906-<b>G</b>,1 x 10-7,(men),0.4403,'-,0.0343 cm increase,[0.022-0.047],KCNQ1,Waist circumference adjusted for BMI in active individuals,"BMI-adjusted waist circumference, physical activity measurement",GCST004564,11:2731379,Anthropometric
1573,KCNQ1,KCNQ1,Maternal,rs231906-<b>G</b>,2 x 10-7,(women),0.4326,'-,0.0332 cm increase,[0.021-0.046],KCNQ1,Waist circumference adjusted for BMI in active individuals,"BMI-adjusted waist circumference, physical activity measurement",GCST004564,11:2731379,Anthropometric
1574,KCNQ1,KCNQ1,Maternal,rs231906-<b>?</b>,5 x 10-8,(women),0.4329,'-,'-,'-,KCNQ1,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),"BMI-adjusted waist circumference, physical activity measurement",GCST004563,11:2731379,Anthropometric
1575,KCNQ1,KCNQ1,Maternal,rs231878-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,KCNQ1,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,11:2742547,Anthropometric
1576,KCNQ1,KCNQ1,Maternal,rs163149-<b>?</b>,8 x 10-11,,NR,'-,'-,'-,KCNQ1,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,11:2776200,Anthropometric
1577,KCNQ1,KCNQ1,Maternal,rs234886-<b>C</b>,9 x 10-8,,0.83,'-,0.035 unit decrease,[0.019-0.051],KCNQ1,Height,body height,GCST002702,11:2780860,Anthropometric
1578,KCNQ1,KCNQ1,Maternal,rs2237886-<b>T</b>,5 x 10-18,,0.107,'-,0.043 unit increase,[0.033-0.053],KCNQ1,Height,body height,GCST002647,11:2789501,Anthropometric
1579,KCNQ1,KCNQ1,Maternal,rs2237886-<b>T</b>,2 x 10-13,,0.11,'-,0.046 unit increase,[NR],KCNQ1,Height,body height,GCST000817,11:2789501,Anthropometric
1580,KCNQ1,KCNQ1,Maternal,rs143840904-<b>?</b>,1 x 10-17,,NR,'-,0.11436368 unit decrease,[0.088-0.141],KCNQ1,Height,body height,GCST008839,11:2792092,Anthropometric
1581,KCNQ1,KCNQ1,Maternal,rs143840904-<b>?</b>,8 x 10-23,,NR,'-,'-,'-,KCNQ1,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,11:2792092,Anthropometric
1582,KCNQ1,KCNQ1,Maternal,rs143840904-<b>?</b>,1 x 10-109,,NR,'-,'-,'-,KCNQ1,Height,body height,GCST007841,11:2792092,Anthropometric
1583,KCNQ1,KCNQ1,Maternal,rs61869763-<b>?</b>,3 x 10-27,,NR,'-,0.040659904 unit increase,[0.033-0.048],KCNQ1,Height,body height,GCST008839,11:2792115,Anthropometric
1584,KCNQ1,KCNQ1,Maternal,rs61869763-<b>?</b>,9 x 10-21,,NR,'-,'-,'-,KCNQ1,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,11:2792115,Anthropometric
