ID,Imprinted Gene,Gene,Paternal/Maternal,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
465,GLI3,GLI3,Paternal,rs4724100-<b>C</b>,2 x 10-6,,0.45,1.14,'-,[1.08-1.21],GLI3,Allergic rhinitis,seasonal allergic rhinitis,GCST001310,7:42225080,Allergy
464,GLI3,GLI3,Paternal,rs10233459-<b>G</b>,4 x 10-6,(African),0.05,1.57,'-,[1.30‐1.91],GLI3,Asthma,asthma,GCST005212,7:42001387,Allergy
634,GLIS3,GLIS3,Paternal,rs10814853-<b>T</b>,3 x 10-8,,0.311041,'-,0.053840246 unit decrease,[0.035-0.073],GLIS3,"Medication use (adrenergics, inhalants)",Inhalant adrenergic use measurement,GCST007941,9:4144996,Allergy
729,DIRAS3,GNG12-AS1,Paternal,rs74574132-<b>T</b>,9 x 10-6,,NR,'-,0.0470779 unit decrease,[0.026-0.068],GNG12-AS1,Itch intensity from mosquito bite adjusted by bite size,"mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement",GCST004862,1:67938637,Allergy
730,DIRAS3,GNG12-AS1,Paternal,rs11209185-<b>G</b>,4 x 10-6,(women),NR,'-,0.0209418 unit decrease,[0.012-0.03],GNG12-AS1,Itch intensity from mosquito bite adjusted by bite size,"mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement",GCST004862,1:67956491,Allergy
731,DIRAS3,GNG12-AS1,Paternal,rs74664319-<b>G</b>,2 x 10-6,,NR,'-,0.0583796 unit increase,[0.034-0.083],GNG12-AS1,Itch intensity from mosquito bite,mosquito bite reaction itch intensity measurement,GCST004861,1:67979464,Allergy
2540,PLAGL1,PLAGL1,Paternal,rs6900923-<b>C</b>,4 x 10-6,,NR,'-,'-,'-,PLAGL1,Asthma (adult onset),adult onset asthma,GCST009842,6:143977063,Allergy
2541,PLAGL1,PLAGL1,Paternal,rs17073303-<b>?</b>,9 x 10-6,,NR,'-,'-,'-,PLAGL1,Peanut allergy (maternal genetic effects),"peanut allergy measurement, parental genotype effect measurement",GCST005723,6:144034900,Allergy
2564,PLAGL1,PLAGL1,Paternal,rs6900923-<b>C</b>,5 x 10-10,,NR,'-,'-,'-,PLAGL1,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,6:143977063,Allergy
3211,ZIM2,ZIM2,Paternal,rs10404342-<b>?</b>,8 x 10-6,,'-,'-,'-,'-,"ZNF71, ZIM2-AS1",IgE levels in asthmatics,"serum IgE measurement, asthma",GCST002122,19:56620870,Allergy
