Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs10509852-<b>?</b>,2 x 10-7,,NR,'-,'-,'-,LINC01435,Abnormal white matter microstructure in first episode schizophrenia (multivariate analysis),"parietal cortex measurement, schizophrenia, white matter microstructure measurement, cingulate cortex measurement",GCST004997,10:107815336
rs77950315-<b>A</b>,4 x 10-6,,0.0400777,'-,1.8343211 unit increase,[1.1-2.57],KRT18P32,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,1:238577059
rs77576211-<b>C</b>,2 x 10-6,,0.0955922,'-,1.1911854 unit decrease,[0.73-1.65],LINC01090,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,2:187947170
rs11718289-<b>T</b>,3 x 10-7,,0.353661,'-,0.8016812 unit increase,[0.52-1.09],"CAV3, OXTR",Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,3:8755176
rs139701434-<b>A</b>,2 x 10-6,,0.020665,'-,2.537798 unit increase,[1.55-3.52],CNTN6,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,3:1100097
rs35210560-<b>C</b>,3 x 10-6,,0.283743,'-,0.68471986 unit increase,[0.42-0.95],CHL1,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,3:219074
rs2859208-<b>T</b>,9 x 10-6,,0.432638,'-,0.88785464 unit increase,[0.52-1.26],BNIP3P41,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,4:48361
rs151146085-<b>T</b>,9 x 10-6,,0.0201408,'-,2.3236868 unit increase,[1.35-3.29],LINC01331,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,5:74517389
rs542925-<b>T</b>,2 x 10-6,,0.330097,'-,0.7203378 unit decrease,[0.44-1],Y_RNA,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,6:128659533
rs4706368-<b>C</b>,8 x 10-6,,0.43217,'-,0.65017843 unit increase,[0.38-0.92],MIR4464,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,6:90402942
rs186646553-<b>T</b>,9 x 10-6,,0.0220922,'-,2.267864 unit increase,[1.32-3.22],"PGK2, CRISP3",Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,6:49772882
rs77413038-<b>A</b>,9 x 10-6,,0.0661845,'-,1.1706738 unit increase,[0.68-1.66],'-,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,7:156034162
rs1814981-<b>C</b>,6 x 10-7,,0.291136,'-,0.7958612 unit decrease,[0.5-1.09],SH2D4A,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,8:19292776
rs12681287-<b>A</b>,1 x 10-6,,0.364432,'-,0.6621911 unit increase,[0.41-0.91],SLC7A13,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,8:86257307
rs139683691-<b>C</b>,4 x 10-6,,0.0605971,'-,1.3790523 unit increase,[0.83-1.93],CSMD3,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,8:113497020
rs2466211-<b>C</b>,4 x 10-6,,0.376447,'-,0.64253575 unit increase,[0.39-0.9],PEBP4,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,8:22986484
rs60134676-<b>A</b>,6 x 10-6,,0.0855728,'-,1.1590749 unit decrease,[0.68-1.63],FAM135B,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,8:138298624
rs73621547-<b>C</b>,3 x 10-6,,0.0991553,'-,1.100957 unit increase,[0.67-1.53],LINC01503,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,9:129351652
rs35198810-<b>C</b>,4 x 10-6,,0.0610437,'-,1.3421149 unit increase,[0.81-1.88],KDM4C,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,9:79259840
rs7858225-<b>G</b>,8 x 10-6,,0.49016,'-,0.6040948 unit decrease,[0.35-0.85],'-,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,Mapping not available
rs10823514-<b>T</b>,3 x 10-6,,0.281233,'-,0.6752977 unit decrease,[0.41-0.94],"LRRC20, NPFFR1",Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,10:70292956
rs10770152-<b>T</b>,3 x 10-6,,0.368932,'-,0.6548911 unit decrease,[0.4-0.91],"ZBED5-AS1, LINC02752",Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,11:10990785
rs12319493-<b>T</b>,4 x 10-6,,0.23799,'-,0.7028829 unit decrease,[0.42-0.98],'-,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,12:73001289
rs77743965-<b>C</b>,3 x 10-6,,0.078932,'-,1.2075597 unit decrease,[0.73-1.68],"RPS20P32, RPS21P8",Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,13:26998157
rs35729053-<b>TGCG</b>,8 x 10-6,,0.170374,'-,0.80638254 unit decrease,[0.47-1.14],"MYO16, MYO16-AS1",Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,13:109173948
rs56001627-<b>G</b>,5 x 10-6,,0.0631068,'-,1.3018842 unit increase,[0.77-1.83],'-,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,14:39616355
rs17828555-<b>G</b>,6 x 10-8,,0.106796,'-,1.2270216 unit decrease,[0.82-1.64],'-,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,18:69265647
rs35018336-<b>C</b>,7 x 10-6,,0.0747427,'-,1.1616684 unit increase,[0.68-1.64],SPACA6,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,19:51694204
rs148881315-<b>G</b>,8 x 10-6,,0.0632816,'-,1.1726292 unit increase,[0.69-1.66],CELSR1,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,22:46384888
16:9247248-<b>C</b>,6 x 10-6,,0.0549923,'-,1.4722961 unit increase,[0.87-2.07],'-,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,Mapping not available
rs66468717-<b>A</b>,1 x 10-6,,0.186736,'-,0.9538674 unit decrease,[0.59-1.32],NXN,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,17:936323
rs8102756-<b>C</b>,7 x 10-6,,0.0678689,'-,1.1971033 unit decrease,[0.7-1.69],COL5A3,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,19:9986013
rs11901793-<b>?</b>,4 x 10-8,,NR,'-,0.02 unit decrease,'-,ACKR3,Total mean fractional anisotropy measurement in first episode schizophrenia,"schizophrenia, mean fractional anisotropy measurement, white matter microstructure measurement",GCST004996,2:236588594
rs7559992-<b>?</b>,9 x 10-8,,NR,'-,0.03 unit decrease,'-,MPP4,White matter microstructure in first episode schizophrenia (left inferior parietal cortex),"parietal cortex measurement, schizophrenia, white matter microstructure measurement",GCST004991,2:201666824
kgp5929161-<b>?</b>,6 x 10-7,,NR,'-,0.06 unit increase,'-,'-,White matter microstructure in first episode schizophrenia (right posterior cingulate cortex),"schizophrenia, white matter microstructure measurement, cingulate cortex measurement",GCST004992,Mapping not available
rs10509852-<b>?</b>,5 x 10-8,,NR,'-,0.04 unit decrease,'-,LINC01435,White matter microstructure in first episode schizophrenia (left posterior cingulate cortex),"schizophrenia, white matter microstructure measurement, cingulate cortex measurement",GCST004995,10:107815336
rs8009925-<b>?</b>,7 x 10-8,,NR,'-,0.04 unit increase,'-,TEP1,White matter microstructure in first episode schizophrenia (left anterior cingulate cortex),"schizophrenia, white matter microstructure measurement, cingulate cortex measurement",GCST004994,14:20403486
rs193091397-<b>?</b>,1 x 10-7,,NR,'-,2.83 unit decrease,'-,NFATC2,White matter microstructure in first episode schizophrenia (right anterior cingulate cortex),"schizophrenia, white matter microstructure measurement, cingulate cortex measurement",GCST004993,20:51467037
rs2345981-<b>A</b>,9 x 10-7,(Left frontal pole (volume)),0.31,'-,34.98 mm3 increase,[21.04-48.92],DHFRP5,"Cortical brain region measurements (area, volume and thickness)","brain measurement, brain volume measurement",GCST007712,6:62500036
rs2971609-<b>?</b>,3 x 10-9,(right carotid flow velocity),NR,'-,'-,'-,FHL5,Cerebral blood flow,cerebral blood flow measurement,GCST004376,6:96591789
rs7149295-<b>?</b>,5 x 10-6,,NR,'-,0.09 unit increase,NR,NIN,Delta electroencephalogram power,delta wave measurement,GCST011041,14:50816430
rs7650253-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,RHOA,Executive function (trail making test B),executive function measurement,GCST90011296,3:49393727
rs66824127-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,STAB1,Executive function (trail making test B),executive function measurement,GCST90011296,3:52517249
rs763646-<b>?</b>,1 x 10-10,,NR,'-,'-,'-,EXOC4,Executive function (trail making test B),executive function measurement,GCST90011296,7:133658600
rs1149450-<b>?</b>,1 x 10-10,,NR,'-,'-,'-,"LINC01414, RN7SKP135",Executive function (trail making test B),executive function measurement,GCST90011296,8:63615767
rs13262595-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,TSNARE1,Executive function (trail making test B),executive function measurement,GCST90011296,8:142235609
rs429358-<b>?</b>,2 x 10-13,,NR,'-,'-,'-,'-,Executive function (trail making test B),executive function measurement,GCST90011296,Mapping not available
rs139493-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,CHADL,Executive function (trail making test B),executive function measurement,GCST90011296,22:41236075
rs12705973-<b>?</b>,3 x 10-6,,NR,'-,0.02 unit increase,NR,FOXP2,Beta 1 electroencephalogram power,beta wave measurement,GCST011043,7:114673144
rs10108126-<b>?</b>,2 x 10-6,,NR,'-,0.05 unit increase,NR,"SBSPON, C8orf89",Beta 1 electroencephalogram power,beta wave measurement,GCST011043,8:73197072
rs10104429-<b>?</b>,2 x 10-7,,NR,'-,0.05 unit increase,NR,RDH10-AS1,Beta 1 electroencephalogram power,beta wave measurement,GCST011043,8:73345712
rs7125249-<b>?</b>,4 x 10-6,,NR,'-,0.03 unit increase,NR,"LINC02685, PRDM11",Beta 1 electroencephalogram power,beta wave measurement,GCST011043,11:45040788
rs6692346-<b>?</b>,2 x 10-6,,NR,'-,0.04 unit increase,NR,KCND3,Beta 2 electroencephalogram power,beta wave measurement,GCST011042,1:111815891
rs4658030-<b>?</b>,2 x 10-6,,NR,'-,0.03 unit decrease,NR,RGS21,Beta 2 electroencephalogram power,beta wave measurement,GCST011042,1:192458199
rs77599684-<b>?</b>,9 x 10-7,,NR,'-,0.05 unit increase,NR,OSBPL1A,Beta 2 electroencephalogram power,beta wave measurement,GCST011042,18:24269060
