"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs4761496-<b>T</b>,"5 x 10-7",,NR,'-,"5.046 z-score decrease",NR,TMCC3,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,12:94733833
rs75790006-<b>T</b>,"1 x 10-6",,NR,'-,"4.836 z-score increase",NR,'-,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,4:43211547
chr3:80136427-<b>A</b>,"1 x 10-6",,NR,'-,"4.825 z-score decrease",NR,'-,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,"Mapping not available"
chr15:89432448-<b>A</b>,"2 x 10-6",,NR,'-,"4.751 z-score increase",NR,'-,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,"Mapping not available"
chr3:79848880-<b>A</b>,"2 x 10-6",,NR,'-,"4.739 z-score decrease",NR,'-,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,"Mapping not available"
rs17393453-<b>A</b>,"2 x 10-6",,NR,'-,"4.734 z-score decrease",NR,CSMD1,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,8:3372208
rs59112743-<b>A</b>,"3 x 10-6",,NR,'-,"4.699 z-score decrease",NR,DTNBP1,"Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,6:15691547
rs2040609-<b>T</b>,"3 x 10-6",,NR,'-,"4.678 z-score increase",NR,"NACA2, BRIP1","Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,17:61617277
rs80069861-<b>A</b>,"3 x 10-6",,NR,'-,"4.664 z-score increase",NR,"ADAMTS14, PRF1","Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,10:70616648
rs35401316-<b>T</b>,"3 x 10-6",,NR,'-,"4.646 z-score decrease",NR,"PRF1, ADAMTS14","Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,10:70604089
rs11867566-<b>A</b>,"3 x 10-6",,NR,'-,"4.643 z-score increase",NR,"NACA2, BRIP1","Multiple keratinocyte cancers","squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma",GCST004134,17:61650489
