Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs4916831-<b>G</b>,7 x 10-9,,0.56,1.4084507,'-,[1.27-1.59],ADGRV1,Atopy,atopy,GCST006040,5:90916459
rs6056732-<b>C</b>,3 x 10-6,,0.09,1.6393442,'-,[1.33-2.00],PAK5,Atopy,atopy,GCST006040,20:9595973
rs4952590-<b>?</b>,2 x 10-6,,0.86,1.92,'-,[1.27-2.86],PKDCC,Atopy,atopy,GCST000540,2:42049781
rs6059655-<b>A</b>,1 x 10-7,,0.096,'-,0.22 unit decrease,[0.30232-0.13768],RALY,Skin sensitivity to sun,skin sensitivity to sun,GCST002908,20:34077942
rs149963581-<b>C</b>,2 x 10-7,,0.03,'-,0.441 unit increase,[0.28-0.61],HERC2,Skin sensitivity to sun,skin sensitivity to sun,GCST002908,15:28212394
rs12931267-<b>G</b>,8 x 10-23,,0.091,'-,0.441 unit decrease,[0.5292-0.3528],FANCA,Skin sensitivity to sun,skin sensitivity to sun,GCST002908,16:89752324
rs16891982-<b>C</b>,7 x 10-6,,0.061,'-,0.31 unit increase,[0.17-0.45],SLC45A2,Skin sensitivity to sun,skin sensitivity to sun,GCST002908,5:33951588
rs9271588-<b>G</b>,1 x 10-26,,0.523,2.3,'-,[1.98-2.70],"HLA-DQA1, HLA-DRB1",Hydrolysed wheat protein allergy,wheat allergic reaction,GCST009143,6:32623176
rs59325236-<b>A</b>,1 x 10-8,,0.024,2.57,'-,[1.85-3.55],RBFOX1,Hydrolysed wheat protein allergy,wheat allergic reaction,GCST009143,16:7706047
rs2155219-<b>T</b>,1 x 10-8,,0.47,1.22,'-,[1.14-1.31],"EMSY, LINC02757",IgE grass sensitization,seasonal allergic rhinitis,GCST001303,11:76588150
rs17513503-<b>G</b>,1 x 10-8,,0.09,1.39,'-,[1.24-1.56],SLC25A46,IgE grass sensitization,seasonal allergic rhinitis,GCST001303,5:110810746
