Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs1530530-<b>G</b>,6 x 10-7,(Testosterone ),0.068,'-,0.03 ng/mL increase,[NR],"ATP12A, TPTE2P6",Obesity-related traits,testosterone measurement,GCST001762,13:24673148
rs8120917-<b>A</b>,6 x 10-6,(Testosterone ),0.004,'-,0.03 ng/mL increase,[NR],LINC01370,Obesity-related traits,testosterone measurement,GCST001762,20:40015916
rs3800131-<b>A</b>,9 x 10-6,(Testosterone ),0.356,'-,0.03 ng/mL increase,[NR],GMDS,Obesity-related traits,testosterone measurement,GCST001762,6:1918028
rs8077577-<b>A</b>,4 x 10-6,(Testosterone ),0.11,'-,0.03 ng/mL increase,[NR],MYO15A,Obesity-related traits,testosterone measurement,GCST001762,17:18161416
rs10865541-<b>A</b>,6 x 10-6,(Testosterone ),0.488,'-,0.03 ng/mL increase,[NR],TRAPPC12,Obesity-related traits,testosterone measurement,GCST001762,2:3388304
rs28417902-<b>A</b>,7 x 10-6,(Testosterone ),0.032,'-,0.03 ng/mL increase,[NR],TPRN,Obesity-related traits,testosterone measurement,GCST001762,9:137194178
rs11254160-<b>A</b>,8 x 10-6,(Testosterone ),0.138,'-,0.03 ng/mL increase,[NR],RSU1,Obesity-related traits,testosterone measurement,GCST001762,10:16702524
chr21:18288889-<b>G</b>,1 x 10-9,,0.87458,'-,0.0160033 unit decrease,[0.011-0.021],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr21:33750632-<b>C</b>,5 x 10-12,,0.00843059,'-,0.066372 unit increase,[0.048-0.085],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr7:73037956-<b>G</b>,4 x 10-16,,0.136611,'-,0.0204798 unit increase,[0.016-0.025],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr7:75610876-<b>T</b>,2 x 10-14,,0.00411478,'-,0.103042 unit decrease,[0.077-0.129],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr7:98983049-<b>T</b>,7 x 10-10,,0.00344373,'-,0.0962952 unit decrease,[0.066-0.127],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr7:99332948-<b>G</b>,2 x 10-230,,0.0375163,'-,0.146779 unit decrease,[0.14-0.16],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr7:137797477-<b>T</b>,5 x 10-22,,0.795526,'-,0.0206784 unit increase,[0.016-0.025],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:32009301-<b>G</b>,2 x 10-13,,0.0136334,'-,0.055654 unit increase,[0.041-0.071],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:32611068-<b>G</b>,1 x 10-9,,0.165749,'-,0.015053 unit decrease,[0.01-0.02],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:119158229-<b>T</b>,3 x 10-30,,0.772103,'-,0.0235812 unit increase,[0.02-0.028],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:127182820-<b>A</b>,2 x 10-8,,0.418603,'-,0.00989538 unit decrease,[0.0064-0.0134],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:127454893-<b>A</b>,1 x 10-8,,0.0500331,'-,0.0227927 unit decrease,[0.015-0.031],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:144301525-<b>G</b>,2 x 10-12,,0.659687,'-,0.0132037 unit increase,[0.0095-0.0169],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr4:69949712-<b>G</b>,3 x 10-13,,0.451135,'-,0.0126388 unit decrease,[0.0092-0.016],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr4:109038654-<b>A</b>,2 x 10-10,,0.631222,'-,0.0114025 unit decrease,[0.0079-0.0149],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr4:177614117-<b>A</b>,2 x 10-8,,0.0944518,'-,0.0174233 unit decrease,[0.011-0.024],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr15:40377092-<b>C</b>,9 x 10-34,,0.352581,'-,0.0220314 unit increase,[0.018-0.026],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr15:40703339-<b>T</b>,5 x 10-11,,0.658067,'-,0.011974 unit increase,[0.0084-0.0155],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr15:75903925-<b>T</b>,3 x 10-8,,0.0483895,'-,0.0224626 unit decrease,[0.015-0.03],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr15:79836536-<b>A</b>,3 x 10-16,,0.13618,'-,0.0206751 unit decrease,[0.016-0.026],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr15:85521734-<b>C</b>,3 x 10-8,,0.159863,'-,0.0130271 unit decrease,[0.0084-0.0176],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr16:4156809-<b>G</b>,1 x 10-10,,0.0340319,'-,0.0304876 unit decrease,[0.021-0.04],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr16:30619601-<b>C</b>,4 x 10-8,,0.230168,'-,0.0114106 unit increase,[0.0073-0.0155],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr16:81590541-<b>C</b>,4 x 10-35,,0.0727176,'-,0.0413071 unit increase,[0.035-0.048],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr6:43352980-<b>G</b>,2 x 10-18,,0.681648,'-,0.0162245 unit increase,[0.013-0.02],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr16:81603619-<b>C</b>,5 x 10-10,,0.658988,'-,0.0113156 unit decrease,[0.0077-0.0149],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr1:7895418-<b>T</b>,6 x 10-10,,0.195653,'-,0.0134558 unit decrease,[0.0092-0.0177],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr1:41967340-<b>T</b>,2 x 10-8,,0.0191181,'-,0.0373153 unit increase,[0.024-0.05],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr1:101737743-<b>C</b>,9 x 10-55,,0.312082,'-,0.0292156 unit increase,[0.026-0.033],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr1:113147897-<b>C</b>,7 x 10-11,,0.264672,'-,0.0127755 unit decrease,[0.0089-0.0166],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr1:179254984-<b>A</b>,7 x 10-29,,0.724512,'-,0.0215938 unit decrease,[0.018-0.025],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr1:218548749-<b>CT</b>,9 x 10-10,,0.289858,'-,0.0121037 unit decrease,[0.0082-0.016],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr5:35267743-<b>G</b>,3 x 10-12,,0.046249,'-,0.028936 unit decrease,[0.021-0.037],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr5:55861786-<b>T</b>,2 x 10-9,,0.198562,'-,0.0129313 unit decrease,[0.0087-0.0172],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr5:76461706-<b>T</b>,1 x 10-9,,0.0597087,'-,0.0223565 unit increase,[0.015-0.03],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr5:76483059-<b>A</b>,3 x 10-12,,0.369735,'-,0.0124596 unit decrease,[0.009-0.016],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr5:124205385-<b>C</b>,4 x 10-16,,0.155574,'-,0.0196726 unit decrease,[0.015-0.024],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr5:176782218-<b>C</b>,5 x 10-9,,0.250074,'-,0.0117172 unit increase,[0.0078-0.0157],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chrX:109887164-<b>G</b>,1 x 10-8,,0.357813,'-,0.0107777 unit increase,[0.0071-0.0145],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chrX:152589891-<b>G</b>,3 x 10-20,,0.501555,'-,0.0159409 unit decrease,[0.013-0.019],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr13:22318506-<b>C</b>,3 x 10-36,,0.609416,'-,0.0223267 unit increase,[0.019-0.026],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr13:22693754-<b>T</b>,2 x 10-15,,0.192223,'-,0.0175717 unit increase,[0.013-0.022],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr20:48905967-<b>T</b>,7 x 10-14,,0.230061,'-,0.0153545 unit decrease,[0.011-0.019],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr19:10471462-<b>T</b>,2 x 10-22,,0.0932135,'-,0.0293814 unit decrease,[0.023-0.035],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr19:12494135-<b>A</b>,3 x 10-8,,0.527704,'-,0.00968742 unit decrease,[0.0062-0.0131],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr19:41986217-<b>C</b>,1 x 10-9,,0.746087,'-,0.0120878 unit decrease,[0.0082-0.016],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr19:46183586-<b>T</b>,3 x 10-8,,0.15377,'-,0.0132308 unit decrease,[0.0085-0.0179],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr10:5062752-<b>A</b>,1 x 10-38,,0.291787,'-,0.0249334 unit decrease,[0.021-0.029],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr10:61468589-<b>T</b>,4 x 10-23,,0.770617,'-,0.020324 unit increase,[0.016-0.024],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr10:65112397-<b>C</b>,4 x 10-15,,0.535767,'-,0.0137587 unit increase,[0.01-0.017],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr10:96894144-<b>C</b>,4 x 10-9,,0.179891,'-,0.0131848 unit decrease,[0.0088-0.0176],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr10:104623053-<b>G</b>,8 x 10-16,,0.239195,'-,0.0162851 unit decrease,[0.012-0.02],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr14:98542503-<b>AT</b>,7 x 10-9,,0.415185,'-,0.0101525 unit increase,[0.0067-0.0136],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr3:10529918-<b>C</b>,4 x 10-10,,0.513762,'-,0.0110959 unit decrease,[0.0076-0.0146],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr3:14423060-<b>T</b>,1 x 10-13,,0.0975312,'-,0.0217131 unit decrease,[0.016-0.027],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr3:41107173-<b>G</b>,8 x 10-13,,0.142111,'-,0.0178301 unit decrease,[0.013-0.023],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr3:62156501-<b>A</b>,3 x 10-8,,0.00172582,'-,0.122622 unit decrease,[0.079-0.166],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr3:152084243-<b>A</b>,1 x 10-8,,0.404807,'-,0.00995939 unit decrease,[0.0065-0.0134],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
chr3:195942080-<b>TG</b>,3 x 10-15,,0.569389,'-,0.0140098 unit decrease,[0.011-0.017],'-,Testosterone levels,testosterone measurement,GCST011519,Mapping not available
