Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs7593032-<b>T</b>,4 x 10-6,(Female),0.713,0.631,'-,[0.52-0.74],"EML4-AS1, PKDCC",Lung cancer,lung cancer,GCST011974,2:42122050
rs42775-<b>T</b>,5 x 10-6,(Female),0.325,1.561,'-,[1.29-1.83],LINC02056,Lung cancer,lung cancer,GCST011974,5:72584687
rs76972397-<b>T</b>,1 x 10-6,(Female),0.93,0.432,'-,[0.31-0.56],ZRANB1,Lung cancer,lung cancer,GCST011974,10:124961380
rs482962-<b>A</b>,5 x 10-6,(Female),0.262,1.607,'-,[1.31-1.9],"LINC01915, EIF4A3P1",Lung cancer,lung cancer,GCST011974,18:24532843
rs12657742-<b>A</b>,4 x 10-6,(Male),0.864,0.555,'-,[0.43-0.68],LINC01377,Lung cancer,lung cancer,GCST011974,5:3123661
rs77914729-<b>C</b>,3 x 10-6,(Male),0.929,0.475,'-,[0.35-0.6],RPSAP37,Lung cancer,lung cancer,GCST011974,5:126003571
rs11954381-<b>G</b>,3 x 10-6,(Male),0.929,0.477,'-,[0.35-0.6],RPSAP37,Lung cancer,lung cancer,GCST011974,5:126006435
rs3799451-<b>A</b>,2 x 10-6,(Male),0.852,0.565,'-,[0.45-0.68],MAP7,Lung cancer,lung cancer,GCST011974,6:136508794
rs13261356-<b>C</b>,3 x 10-6,(Male),0.9,0.482,'-,[0.35-0.61],CSMD1,Lung cancer,lung cancer,GCST011974,8:4605119
rs11012129-<b>T</b>,3 x 10-7,(Male),0.945,0.375,'-,[0.26-0.49],MIR4675,Lung cancer,lung cancer,GCST011974,10:20545511
rs2437037-<b>A</b>,4 x 10-6,(Male),0.909,0.449,'-,[0.32-0.58],ATP8B1,Lung cancer,lung cancer,GCST011974,18:57795758
rs363433-<b>C</b>,1 x 10-6,(Male),0.863,0.539,'-,[0.42-0.66],"BACH1, GRIK1",Lung cancer,lung cancer,GCST011974,21:29588811
rs1198929434-<b>TAAAC</b>,1 x 10-10,,0.99,'-,0.14 unit decrease,[0.099-0.181],IQCJ-SCHIP1,Pneumonia (28-day mortality),"pneumonia, mortality",GCST011597,3:159375757
rs80069184-<b>C</b>,1 x 10-8,,0.99,'-,0.15 unit decrease,[0.097-0.203],ARHGAP27P1-BPTFP1-KPNA2P3,Pneumonia (90-day mortality),"pneumonia, mortality",GCST011596,17:64765521
rs71427857-<b>A</b>,8 x 10-9,,0.042,5.759,'-,'-,DNAJC10,Pulmonary arterial hypertension,pulmonary arterial hypertension,GCST004947,2:182633113
rs10208293-<b>G</b>,3 x 10-6,,0.73,1.14,'-,'-,"IL1RL1, IL18R1",Asthma (adult onset),adult onset asthma,GCST007993,2:102349850
rs928413-<b>G</b>,5 x 10-17,,0.25,1.19,'-,'-,"GTF3AP1, IL33",Asthma (adult onset),adult onset asthma,GCST007993,9:6213387
rs1775554-<b>A</b>,5 x 10-29,,0.577,1.121,'-,[1.098-1.143],LINC02676,Asthma (adult onset),adult onset asthma,GCST007993,10:9012377
rs992969-<b>A</b>,3 x 10-17,,0.252,1.1,'-,[1.076-1.125],"IL33, GTF3AP1",Asthma (adult onset),adult onset asthma,GCST007993,9:6209697
rs1837253-<b>C</b>,3 x 10-13,,0.74,1.088,'-,[1.064-1.113],TSLP,Asthma (adult onset),adult onset asthma,GCST007993,5:111066174
rs17622378-<b>A</b>,3 x 10-13,,0.573,1.077,'-,[1.055-1.098],"IRF1, IRF1-AS1",Asthma (adult onset),adult onset asthma,GCST007993,5:132442760
rs72823641-<b>T</b>,4 x 10-12,,0.863,1.109,'-,[1.077-1.142],"IL1RL1, IL18R1",Asthma (adult onset),adult onset asthma,GCST007993,2:102319699
rs1321859-<b>C</b>,6 x 10-12,,0.649,1.076,'-,[1.054-1.098],"BACH2, MIR4464",Asthma (adult onset),adult onset asthma,GCST007993,6:90301954
rs56062135-<b>T</b>,6 x 10-12,,0.237,1.083,'-,[1.058-1.108],SMAD3,Asthma (adult onset),adult onset asthma,GCST007993,15:67163292
rs34290285-<b>G</b>,2 x 10-11,,0.745,1.081,'-,[1.056-1.106],D2HGDH,Asthma (adult onset),adult onset asthma,GCST007993,2:241759225
rs56389811-<b>C</b>,2 x 10-10,,0.761,1.078,'-,[1.054-1.104],HDAC7,Asthma (adult onset),adult onset asthma,GCST007993,12:47811575
rs12617922-<b>G</b>,2 x 10-10,,0.518,1.066,'-,[1.045-1.087],RPL6P5,Asthma (adult onset),adult onset asthma,GCST007993,2:145399111
rs7936312-<b>T</b>,4 x 10-9,,0.477,1.06,'-,[1.040-1.081],"LINC02757, EMSY",Asthma (adult onset),adult onset asthma,GCST007993,11:76582682
rs3122929-<b>T</b>,6 x 10-9,,0.404,1.061,'-,[1.040-1.082],STAT6,Asthma (adult onset),adult onset asthma,GCST007993,12:57115319
rs12788104-<b>G</b>,1 x 10-8,,0.688,1.064,'-,[1.041-1.087],"MUC5AC, MUC2",Asthma (adult onset),adult onset asthma,GCST007993,11:1129831
rs11088309-<b>G</b>,5 x 10-8,,0.143,1.079,'-,[1.050-1.109],RUNX1,Asthma (adult onset),adult onset asthma,GCST007993,21:35092334
rs4739738-<b>G</b>,9 x 10-8,,0.359,1.057,'-,[1.036-1.079],"RNU6-1213P, LINC00529",Asthma (adult onset),adult onset asthma,GCST007993,8:80379410
rs174621-<b>G</b>,1 x 10-8,,0.772,1.071,'-,[1.046-1.097],FADS2,Asthma (adult onset),adult onset asthma,GCST007993,11:61862632
rs35032408-<b>T</b>,1 x 10-8,,0.785,1.073,'-,[1.048-1.100],CLEC16A,Asthma (adult onset),adult onset asthma,GCST007993,16:11121567
rs11178648-<b>C</b>,7 x 10-7,,0.592,1.052,'-,[1.031-1.073],TSPAN8,Asthma (adult onset),adult onset asthma,GCST007993,12:71139430
rs705699-<b>A</b>,6 x 10-7,,0.425,1.052,'-,[1.031-1.072],RAB5B,Asthma (adult onset),adult onset asthma,GCST007993,12:55991020
rs10414065-<b>C</b>,1 x 10-6,,0.934,1.108,'-,[1.064-1.155],"SLC7A10, CEBPA",Asthma (adult onset),adult onset asthma,GCST007993,19:33230549
rs1723018-<b>?</b>,7 x 10-6,,NR,'-,'-,'-,CD247,Asthma (adult onset),adult onset asthma,GCST007993,1:167464183
rs2056626-<b>?</b>,2 x 10-7,,NR,'-,'-,'-,CD247,Asthma (adult onset),adult onset asthma,GCST007993,1:167451188
rs9937053-<b>A</b>,3 x 10-9,,0.43,1.09,'-,[1.06-1.12],FTO,Obstructive sleep apnea,obstructive sleep apnea,GCST011922,16:53765595
rs10507084-<b>T</b>,1 x 10-9,,0.18,1.12,'-,[1.08-1.17],"RMST, LINC02409",Obstructive sleep apnea (BMI adjusted),obstructive sleep apnea,GCST011921,12:97359374
rs185932673-<b>T</b>,9 x 10-6,,0.0033,1.75,'-,[1.37-2.26],CAMK1D,Obstructive sleep apnea (BMI adjusted),obstructive sleep apnea,GCST011921,10:12656440
rs162171-<b>A</b>,6 x 10-9,,0.182,1.46,'-,[1.29-1.66],CEP128,Radiation-induced brain injury in nasopharyngeal carcinoma,"response to radiation, nasopharyngeal neoplasm, radiation-induced brain injury",GCST007200,14:80794033
rs17111237-<b>G</b>,3 x 10-7,,0.137,1.45,'-,[1.26-1.66],CEP128,Radiation-induced brain injury in nasopharyngeal carcinoma,"response to radiation, nasopharyngeal neoplasm, radiation-induced brain injury",GCST007200,14:80939997
rs6681149-<b>G</b>,3 x 10-13,,NR,'-,'-,'-,COL16A1,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,1:31699492
rs72836344-<b>G</b>,4 x 10-9,,NR,'-,'-,'-,"ACOXL, MIR4435-2HG",Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,2:111117122
rs12493005-<b>C</b>,2 x 10-11,,NR,'-,'-,'-,TBL1XR1,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,3:177195111
rs7670374-<b>G</b>,5 x 10-10,,NR,'-,'-,'-,RNU6-1252P,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,4:52437952
rs6900923-<b>C</b>,5 x 10-10,,NR,'-,'-,'-,PLAGL1,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,6:143977063
rs4759229-<b>A</b>,2 x 10-23,,NR,'-,'-,'-,ERBB3,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,12:56080696
rs111365807-<b>G</b>,7 x 10-12,,NR,'-,'-,'-,UNC13D,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,17:75829382
rs6427082-<b>T</b>,3 x 10-13,,NR,'-,'-,'-,POU2F1,Adult onset asthma and/or BMI,"adult onset asthma, body mass index",GCST009868,1:167326601
rs7523907-<b>?</b>,5 x 10-8,,NR,'-,'-,'-,CD247,Asthma (adult onset),adult onset asthma,GCST009842,1:167458010
rs3767745-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,PTPRC,Asthma (adult onset),adult onset asthma,GCST009842,1:198688721
rs34290285-<b>?</b>,8 x 10-20,,NR,'-,'-,'-,D2HGDH,Asthma (adult onset),adult onset asthma,GCST009842,2:241759225
rs59185885-<b>?</b>,5 x 10-27,,NR,'-,'-,'-,"IL18R1, IL1RL1",Asthma (adult onset),adult onset asthma,GCST009842,2:102327786
rs1468790-<b>?</b>,1 x 10-14,,NR,'-,'-,'-,SLC9A4,Asthma (adult onset),adult onset asthma,GCST009842,2:102475982
rs10167431-<b>?</b>,4 x 10-14,,NR,'-,'-,'-,IL1RL2,Asthma (adult onset),adult onset asthma,GCST009842,2:102236342
rs12479210-<b>?</b>,3 x 10-33,,NR,'-,'-,'-,"IL1RL1, IL18R1",Asthma (adult onset),adult onset asthma,GCST009842,2:102332701
rs13022699-<b>?</b>,4 x 10-8,,NR,'-,'-,'-,MAP4K4,Asthma (adult onset),adult onset asthma,GCST009842,2:101671373
rs74263644-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,"SLC9A4, SLC9A2",Asthma (adult onset),adult onset asthma,GCST009842,2:102578099
rs1474011-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,RPL6P5,Asthma (adult onset),adult onset asthma,GCST009842,2:145360501
rs4491851-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,GLB1,Asthma (adult onset),adult onset asthma,GCST009842,3:33042493
rs62296577-<b>?</b>,1 x 10-10,,NR,'-,'-,'-,TBL1XR1,Asthma (adult onset),adult onset asthma,GCST009842,3:177131952
rs75355720-<b>?</b>,9 x 10-10,,NR,'-,'-,'-,ITK,Asthma (adult onset),adult onset asthma,GCST009842,5:157209701
rs3749833-<b>?</b>,2 x 10-15,,NR,'-,'-,'-,"IRF1, IRF1-AS1",Asthma (adult onset),adult onset asthma,GCST009842,5:132463934
rs115008099-<b>?</b>,2 x 10-15,,NR,'-,'-,'-,TH2LCRR,Asthma (adult onset),adult onset asthma,GCST009842,5:132656189
rs60153262-<b>?</b>,7 x 10-12,,NR,'-,'-,'-,TH2LCRR,Asthma (adult onset),adult onset asthma,GCST009842,5:132649143
rs1821263-<b>?</b>,5 x 10-8,,NR,'-,'-,'-,"GNPDA1, NDFIP1",Asthma (adult onset),adult onset asthma,GCST009842,5:142088689
rs73786772-<b>?</b>,6 x 10-11,,NR,'-,'-,'-,"WDR36, RPS3AP21",Asthma (adult onset),adult onset asthma,GCST009842,5:111136093
rs1837253-<b>?</b>,4 x 10-19,,NR,'-,'-,'-,TSLP,Asthma (adult onset),adult onset asthma,GCST009842,5:111066174
rs76072474-<b>?</b>,1 x 10-11,,NR,'-,'-,'-,GPANK1,Asthma (adult onset),adult onset asthma,GCST009842,6:31663557
rs3130490-<b>?</b>,2 x 10-14,,NR,'-,'-,'-,VWA7,Asthma (adult onset),adult onset asthma,GCST009842,6:31771343
