Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs7382539-<b>?</b>,2 x 10-6,,NR,'-,'-,'-,"VTA1P1, THBS2",Liver disease severity in Alagille syndrome,"Alagille syndrome, liver disease",GCST003616,6:169268903
rs944961-<b>?</b>,2 x 10-6,,NR,'-,'-,'-,'-,Liver disease severity in Alagille syndrome,"Alagille syndrome, liver disease",GCST003616,9:119810618
rs2896019-<b>G</b>,2 x 10-8,,0.46,3.37,'-,[2.21-5.14],PNPLA3,Nonalcoholic steatohepatitis-derived hepatocellular carcinoma,"hepatocellular carcinoma, non-alcoholic steatohepatitis",GCST005309,22:43937814
rs17007417-<b>T</b>,5 x 10-7,,0.17,2.74,'-,[1.85-4.06],'-,Nonalcoholic steatohepatitis-derived hepatocellular carcinoma,"hepatocellular carcinoma, non-alcoholic steatohepatitis",GCST005309,2:71808541
rs2143571-<b>A</b>,9 x 10-7,,0.43,2.7,'-,[1.82-4.0],SAMM50,Nonalcoholic steatohepatitis-derived hepatocellular carcinoma,"hepatocellular carcinoma, non-alcoholic steatohepatitis",GCST005309,22:43995806
rs77236434-<b>T</b>,3 x 10-7,,0.0144,9.87,'-,[3.46-28.16],DLC1,Familial hepatitis B virus-related hepatocellular carcinoma,"hepatitis B virus infection, hepatocellular carcinoma",GCST004736,8:13261659
rs117413665-<b>C</b>,6 x 10-6,,0.8406,4.17,'-,[2.17-8.33],RNA5SP172,Familial hepatitis B virus-related hepatocellular carcinoma,"hepatitis B virus infection, hepatocellular carcinoma",GCST004736,4:177496993
rs35523062-<b>C</b>,7 x 10-6,,0.8297,3.85,'-,[2.08-7.14],LINC02360,Familial hepatitis B virus-related hepatocellular carcinoma,"hepatitis B virus infection, hepatocellular carcinoma",GCST004736,4:11854239
rs4932397-<b>C</b>,7 x 10-6,,0.4964,2.17,'-,[1.56-3.13],"MRPS11, DET1",Familial hepatitis B virus-related hepatocellular carcinoma,"hepatitis B virus infection, hepatocellular carcinoma",GCST004736,15:88493060
rs4437130-<b>?</b>,2 x 10-7,,NR,6.8,'-,[3.3-14.1],RN7SKP144,Thiopurine-induced pancreatitis in inflammatory bowel disease,"pancreatitis, response to thiopurine, inflammatory bowel disease",GCST006208,3:2035283
rs62561366-<b>?</b>,5 x 10-7,,NR,7,'-,[3.3-14.8],PTCH1,Thiopurine-induced pancreatitis in inflammatory bowel disease,"pancreatitis, response to thiopurine, inflammatory bowel disease",GCST006208,9:95555669
rs12465911-<b>A</b>,2 x 10-7,,0.26,2.03,'-,'-,'-,Esophageal adenocarcinoma x gastroesophageal reflux disease interaction,"esophageal adenocarcinoma, gastroesophageal reflux disease",GCST006531,2:150929228
rs2971030-<b>G</b>,6 x 10-7,,0.42,1.77,'-,[NR],'-,Esophageal adenocarcinoma x gastroesophageal reflux disease interaction,"esophageal adenocarcinoma, gastroesophageal reflux disease",GCST006531,7:9966714
rs7141987-<b>G</b>,7 x 10-7,,0.42,1.77,'-,[NR],MEG8,Esophageal adenocarcinoma x gastroesophageal reflux disease interaction,"esophageal adenocarcinoma, gastroesophageal reflux disease",GCST006531,14:101025887
rs4676893-<b>?</b>,8 x 10-12,,NR,'-,0.1139 unit increase,[0.081-0.147],"FOXP1, RNU6-281P",Barrett's esophagus  or Esophageal adenocarcinoma,"esophageal adenocarcinoma, Barrett's esophagus",GCST008831,3:70868488
rs11901649-<b>?</b>,1 x 10-7,,NR,'-,0.084 unit increase,[0.053-0.115],APOB,Barrett's esophagus  or Esophageal adenocarcinoma,"esophageal adenocarcinoma, Barrett's esophagus",GCST008831,2:21027351
rs10940767-<b>?</b>,2 x 10-6,,NR,'-,0.0747 unit decrease,[0.044-0.105],LINC02109,Barrett's esophagus  or Esophageal adenocarcinoma,"esophageal adenocarcinoma, Barrett's esophagus",GCST008831,5:29001417
rs10392-<b>A</b>,8 x 10-7,,0.1801,1.252,'-,'-,PPP1R16B,Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis,"alcoholic liver cirrhosis, alcohol dependence, alcoholic pancreatitis",GCST004757,20:38922292
rs454510-<b>A</b>,3 x 10-6,,0.02702,1.206,'-,'-,PHGDH,Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis,"alcoholic liver cirrhosis, alcohol dependence, alcoholic pancreatitis",GCST004757,1:119652419
rs2028201-<b>T</b>,5 x 10-6,,0.3763,1.183,'-,'-,SPATS2L,Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis,"alcoholic liver cirrhosis, alcohol dependence, alcoholic pancreatitis",GCST004757,2:200438287
rs2856723-<b>?</b>,3 x 10-43,,'-,2.68,'-,[2.32-3.09],"MTCO3P1, HLA-DQB1",Hepatocellular carcinoma in hepatitis C infection,"hepatitis C virus infection, hepatocellular carcinoma",GCST006037,6:32699985
