"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs181673553-<b>A</b>,"3 x 10-7",,0.998,'-,"3.0048 unit increase",[1.86-4.15],'-,"Niacinamide levels","niacinamide measurement",GCST008864,13:84267923
rs13354173-<b>T</b>,"5 x 10-7",,0.004,'-,"1.2052 unit increase",[0.73-1.68],SEPTIN8,"Niacinamide levels","niacinamide measurement",GCST008864,5:132773431
rs964184-<b>G</b>,"8 x 10-12",,0.15,'-,"0.04 unit increase",[0.02-0.06],ZPR1,"Vitamin E levels","vitamin E measurement",GCST001142,11:116778201
rs2108622-<b>T</b>,"1 x 10-10",,0.21,'-,"0.03 unit increase",[0.01-0.05],CYP4F2,"Vitamin E levels","vitamin E measurement",GCST001142,19:15879621
rs11057830-<b>A</b>,"8 x 10-9",,0.15,'-,"0.03 unit increase",[0.01-0.05],SCARB1,"Vitamin E levels","vitamin E measurement",GCST001142,12:124822507
rs511797-<b>?</b>,"4 x 10-6",(thiamine),NR,'-,"0.24566479 unit increase",[0.14-0.35],MAML2,"Metabolite levels","thiamine measurement",GCST009391,11:96161975
rs7817052-<b>?</b>,"4 x 10-6",(thiamine),NR,'-,"0.17854747 unit decrease",[0.1-0.25],NRG1,"Metabolite levels","thiamine measurement",GCST009391,8:31786844
rs10500910-<b>?</b>,"6 x 10-6",(thiamine),NR,'-,"0.8010817 unit increase",[0.45-1.15],"NELL1, PGM2L1","Metabolite levels","thiamine measurement",GCST009391,11:21583605
rs3915468-<b>?</b>,"7 x 10-6",(thiamine),NR,'-,"0.1905474 unit increase",[0.11-0.27],GOLIM4,"Metabolite levels","thiamine measurement",GCST009391,3:168078369
rs794001-<b>?</b>,"1 x 10-6",(thiamine),NR,'-,"0.19242458 unit decrease",[0.12-0.27],N4BP2,"Metabolite levels","thiamine measurement",GCST009391,4:40119942
rs1893625-<b>?</b>,"1 x 10-6",(thiamine),NR,'-,"0.4193316 unit increase",[0.25-0.59],'-,"Metabolite levels","thiamine measurement",GCST009391,18:71967315
rs10980667-<b>?</b>,"4 x 10-6",(thiamine),NR,'-,"0.22272322 unit increase",[0.13-0.32],LPAR1,"Metabolite levels","thiamine measurement",GCST009391,9:110975337
rs492602-<b>A</b>,"5 x 10-17",,0.51,'-,"0.09 unit decrease",[0.070-0.110],FUT2,"Vitamin B12 levels","vitamin B12 measurement",GCST000228,19:48703160
rs3749779-<b>C</b>,"7 x 10-6","(Vitamin B12 )",0.165,'-,"0.02 pmol/L increase",[NR],"SLC25A2, TAF7","Obesity-related traits","vitamin B12 measurement",GCST001762,5:141303324
rs12478296-<b>A</b>,"8 x 10-6","(Vitamin B12 )",0.446,'-,"0.03 pmol/L increase",[NR],LINC01881,"Obesity-related traits","vitamin B12 measurement",GCST001762,2:242106609
rs1990193-<b>C</b>,"9 x 10-6","(Vitamin B12 )",0.385,'-,"0.03 pmol/L increase",[NR],'-,"Obesity-related traits","vitamin B12 measurement",GCST001762,17:70831948
rs516246-<b>A</b>,"2 x 10-6","(Vitamin B12 )",0.272,'-,"0.03 pmol/L increase",[NR],FUT2,"Obesity-related traits","vitamin B12 measurement",GCST001762,19:48702915
rs314590-<b>G</b>,"4 x 10-6","(Vitamin B12 )",0.271,'-,"0.02 pmol/L increase",[NR],CYP3A54P,"Obesity-related traits","vitamin B12 measurement",GCST001762,7:4434501
rs1513859-<b>G</b>,"7 x 10-6","(Vitamin B12 )",0.011,'-,"0.03 pmol/L increase",[NR],LINC02253,"Obesity-related traits","vitamin B12 measurement",GCST001762,15:97207105
rs1385890-<b>G</b>,"4 x 10-6","(Vitamin B12 )",0.193,'-,"0.02 pmol/L increase",[NR],'-,"Obesity-related traits","vitamin B12 measurement",GCST001762,"Mapping not available"
rs7544372-<b>G</b>,"9 x 10-6","(Vitamin B12 )",0.211,'-,"0.03 pmol/L increase",[NR],RGS7,"Obesity-related traits","vitamin B12 measurement",GCST001762,1:240824454
rs10056527-<b>?</b>,"8 x 10-7",,'-,'-,'-,'-,ZNF608,"B6 vitamer levels (multivariate analysis)","vitamin B6 measurement",GCST007260,5:124740390
rs12132412-<b>?</b>,"2 x 10-7",,'-,'-,"0.366 nmol/L increase",[NR],'-,"Cerebrospinal fluid pyridoxal phosphate levels","vitamin B6 measurement",GCST007261,"Mapping not available"
rs12132412-<b>?</b>,"4 x 10-9",,'-,'-,"0.396 unit increase",[NR],'-,"Cerebrospinal fluid pyridoxal phosphate to pyridoxal ratio","vitamin B6 measurement",GCST007263,"Mapping not available"
rs3760775-<b>A</b>,"1 x 10-23",,NR,'-,"0.25 pmol/l increase",[NR],"FUT6, FUT3","Vitamin B12 levels","vitamin B12 measurement",GCST004161,19:5841345
rs34324219-<b>A</b>,"4 x 10-8",,NR,'-,"0.34 pmol/l decrease",[NR],TCN1,"Vitamin B12 levels","vitamin B12 measurement",GCST004161,11:59855905
rs602662-<b>A</b>,"6 x 10-13",,NR,'-,"0.18 pmol/l increase",[NR],FUT2,"Vitamin B12 levels","vitamin B12 measurement",GCST004161,19:48703728
rs708686-<b>T</b>,"6 x 10-15",,NR,'-,"0.2 pmol/l increase",[NR],"FUT3, FUT6","Vitamin B12 levels","vitamin B12 measurement",GCST004161,19:5840608
rs1047781-<b>?</b>,"4 x 10-36",,NR,'-,"70.21 pg/ml increase",[59.37-81.05],FUT2,"Vitamin B12 levels","vitamin B12 measurement",GCST001424,19:48703374
rs10515552-<b>?</b>,"4 x 10-8",,NR,'-,"43.93 pg/ml increase",[28.29-59.57],PRELID2,"Vitamin B12 levels","vitamin B12 measurement",GCST001424,5:145659268
rs12377462-<b>?</b>,"2 x 10-6",,NR,'-,"28.53 pg/ml increase",[16.79-40.27],APTX,"Vitamin B12 levels","vitamin B12 measurement",GCST001424,9:32914591
rs2298585-<b>?</b>,"3 x 10-15",,NR,'-,"71.8 pg/ml increase",[54.08-89.52],MS4A3,"Vitamin B12 levels","vitamin B12 measurement",GCST001424,11:60069719
rs41281112-<b>?</b>,"9 x 10-10",,NR,'-,"83.6 pg/ml decrease",[56.90-110.30],CLYBL,"Vitamin B12 levels","vitamin B12 measurement",GCST001424,13:99866380
rs3760776-<b>?</b>,"4 x 10-13",,NR,'-,"49.78 pg/ml increase",[36.41-63.15],"FUT6, FUT3","Vitamin B12 levels","vitamin B12 measurement",GCST001424,19:5839735
rs1106357-<b>?</b>,"8 x 10-10",,'-,'-,'-,'-,"ALPL, NBPF3","B6 vitamer levels (multivariate analysis)","vitamin B6 measurement",GCST007260,1:21490592
rs28789220-<b>?</b>,"8 x 10-7",,'-,'-,'-,'-,"HMGN2P47, LINC02206","B6 vitamer levels (multivariate analysis)","vitamin B6 measurement",GCST007260,15:66988590
rs4654748-<b>?</b>,"6 x 10-6",,'-,'-,"0.28 nmol/L increase",[NR],NBPF3,"Plasma pyridoxal phosphate levels","vitamin B6 measurement",GCST007262,1:21459575
rs4654748-<b>?</b>,"4 x 10-9",,'-,'-,"0.368 unit increase",[NR],NBPF3,"Plasma pyridoxal phosphate to pyridoxal ratio","vitamin B6 measurement",GCST007264,1:21459575
rs1106357-<b>?</b>,"3 x 10-6",,'-,'-,"0.288 unit decrease",[NR],"ALPL, NBPF3","Plasma pyridoxic acid to pyridoxal phosphate ratio","vitamin B6 measurement",GCST007265,1:21490592
rs6693447-<b>T</b>,"6 x 10-10",,0.551,'-,"0.039 unit increase",[0.027-0.051],RER1,"Vitamin C levels","vitamin C measurement",GCST011816,1:2398751
rs13028225-<b>T</b>,"2 x 10-30",,0.857,'-,"0.102 unit increase",[0.084-0.12],SLC23A3,"Vitamin C levels","vitamin C measurement",GCST011816,2:219166533
rs33972313-<b>C</b>,"5 x 10-90",,0.968,'-,"0.36 unit increase",[0.32-0.4],SLC23A1,"Vitamin C levels","vitamin C measurement",GCST011816,5:139379813
rs10051765-<b>C</b>,"4 x 10-9",,0.342,'-,"0.039 unit increase",[0.025-0.053],"RGS14, SLC34A1","Vitamin C levels","vitamin C measurement",GCST011816,5:177372991
rs7740812-<b>G</b>,"2 x 10-9",,0.594,'-,"0.038 unit increase",[0.026-0.05],GSTA11P,"Vitamin C levels","vitamin C measurement",GCST011816,6:52860989
rs174547-<b>C</b>,"4 x 10-8",,0.328,'-,"0.036 unit increase",[0.022-0.05],"FADS1, FADS2","Vitamin C levels","vitamin C measurement",GCST011816,11:61803311
rs117885456-<b>A</b>,"2 x 10-11",,0.087,'-,"0.078 unit increase",[0.054-0.102],"SNRPF, LINC02410","Vitamin C levels","vitamin C measurement",GCST011816,12:95855333
rs2559850-<b>A</b>,"6 x 10-20",,0.598,'-,"0.058 unit increase",[0.046-0.07],CHPT1,"Vitamin C levels","vitamin C measurement",GCST011816,12:101699681
rs10136000-<b>A</b>,"1 x 10-8",,0.283,'-,"0.04 unit increase",[0.026-0.054],AKT1,"Vitamin C levels","vitamin C measurement",GCST011816,14:104787244
rs56738967-<b>C</b>,"8 x 10-10",,0.321,'-,"0.041 unit increase",[0.027-0.055],LINC01229,"Vitamin C levels","vitamin C measurement",GCST011816,16:79706644
rs9895661-<b>T</b>,"1 x 10-14",,0.817,'-,"0.063 unit increase",[0.047-0.079],BCAS3,"Vitamin C levels","vitamin C measurement",GCST011816,17:61379228
rs184291421-<b>C</b>,"1 x 10-28",,0.994155,'-,"0.170103 unit increase",[0.14-0.2],GC,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:71887129
rs188838036-<b>A</b>,"3 x 10-24",,0.995469,'-,"0.17944 unit increase",[0.14-0.21],MCUB,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:71917668
rs186881826-<b>A</b>,"4 x 10-77",,0.223069,'-,"0.045907 unit increase",[0.041-0.051],'-,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:71920026
rs186441690-<b>G</b>,"2 x 10-18",,0.997189,'-,"0.26711 unit decrease",[0.21-0.33],NPFFR2,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:71955252
rs546541682-<b>T</b>,"2 x 10-18",,0.994255,'-,"0.156566 unit decrease",[0.12-0.19],NPFFR2,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:71998849
rs143106299-<b>T</b>,"2 x 10-28",,0.005747,'-,"0.169038 unit decrease",[0.14-0.2],NPFFR2,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:72054368
rs192785674-<b>A</b>,"8 x 10-11",,0.996588,'-,"0.168744 unit increase",[0.12-0.22],ADAMTS3,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:72640109
rs58073039-<b>G</b>,"2 x 10-11",,0.298368,'-,"0.014119 unit decrease",[0.01-0.0183],HSD17B11,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:87366211
rs28364331-<b>G</b>,"1 x 10-17",,0.018845,'-,"0.061386 unit increase",[0.047-0.075],ADH1A,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:99280138
rs1229984-<b>C</b>,"5 x 10-13",,0.973099,'-,"0.046854 unit decrease",[0.034-0.06],ADH1B,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,4:99318162
rs7718395-<b>G</b>,"2 x 10-9",,0.319522,'-,"0.012632 unit increase",[0.0085-0.0167],TNFAIP8,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,5:119316879
rs3822868-<b>G</b>,"1 x 10-15",,0.835029,'-,"0.021918 unit increase",[0.017-0.027],MED23,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,6:131613846
rs111529171-<b>C</b>,"6 x 10-11",,0.216376,'-,"0.015488 unit decrease",[0.011-0.02],"DNAH11, SP4","Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,7:21532314
rs1011468-<b>A</b>,"1 x 10-12",,0.475748,'-,"0.013795 unit decrease",[0.01-0.0176],LINC01004,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,7:104973344
rs1858889-<b>C</b>,"4 x 10-11",,0.50084,'-,"0.012836 unit increase",[0.009-0.0166],COG5,"Serum 25-Hydroxyvitamin D levels","vitamin D measurement",GCST010144,7:107477002
