"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs2226284-<b>?</b>,"3 x 10-8",SNP+sleep,NR,5.91,'-,[3.15-11.11],LRRC7,"Hypertension risk in short sleep duration","hypertension, short sleep",GCST001405,1:69869999
rs225212-<b>?</b>,"5 x 10-6",SNP+sleep,NR,5.08,'-,[2.52-10.23],MYO1D,"Hypertension risk in short sleep duration","hypertension, short sleep",GCST001405,17:32569437
rs660899-<b>?</b>,"4 x 10-6",SNP+sleep,NR,7.22,'-,[3.12-16.70],KDM4A,"Hypertension risk in short sleep duration","hypertension, short sleep",GCST001405,1:43651335
rs6981992-<b>A</b>,"8 x 10-6","(Sleep duration )",0.489,'-,"0.02 min/d increase",[NR],LINC01299,"Obesity-related traits","sleep measurement",GCST001762,8:65551243
rs7665957-<b>A</b>,"5 x 10-7","(Sleep duration )",0.0060,'-,"0.01 min/d increase",[NR],'-,"Obesity-related traits","sleep measurement",GCST001762,4:12497263
rs11907106-<b>A</b>,"4 x 10-6","(Sleep duration )",0.0030,'-,"0.01 min/d increase",[NR],'-,"Obesity-related traits","sleep measurement",GCST001762,20:12101994
rs213032-<b>G</b>,"6 x 10-6","(Sleep duration )",0.281,'-,"0.03 min/d increase",[NR],ECE1,"Obesity-related traits","sleep measurement",GCST001762,1:21328242
rs11658587-<b>A</b>,"6 x 10-6","(Sleep duration )",0.024,'-,"0.03 min/d increase",[NR],KIF1C,"Obesity-related traits","sleep measurement",GCST001762,17:4998687
rs17129289-<b>G</b>,"7 x 10-6","(Sleep duration )",0.011,'-,"0.02 min/d increase",[NR],LINC01725,"Obesity-related traits","sleep measurement",GCST001762,1:83767065
rs11241130-<b>G</b>,"8 x 10-6","(Sleep duration )",0.129,'-,"0.04 min/d increase",[NR],STARD4-AS1,"Obesity-related traits","sleep measurement",GCST001762,5:111623085
rs8037818-<b>G</b>,"5 x 10-8","(Sleep duration )",0.181,'-,"0.04 min/d increase",[NR],ARHGAP11A,"Obesity-related traits","sleep measurement",GCST001762,15:32635275
rs10039217-<b>G</b>,"3 x 10-7","(Sleep duration )",0.013,'-,"0.04 min/d increase",[NR],"CPLX2, HRH2","Obesity-related traits","sleep measurement",GCST001762,5:175751872
rs13036722-<b>G</b>,"7 x 10-7","(Sleep duration )",0.067,'-,"0.04 min/d increase",[NR],"DEFB127, DEFB128","Obesity-related traits","sleep measurement",GCST001762,20:187379
rs11662748-<b>A</b>,"1 x 10-6","(Sleep duration )",0.114,'-,"0.03 min/d increase",[NR],MIR3976HG,"Obesity-related traits","sleep measurement",GCST001762,18:5762619
rs9641855-<b>G</b>,"2 x 10-6","(Sleep duration )",0.335,'-,"0.02 min/d increase",[NR],NRF1,"Obesity-related traits","sleep measurement",GCST001762,7:129716366
rs12000457-<b>A</b>,"4 x 10-6","(Sleep duration )",0.04,'-,"0.03 min/d increase",[NR],SLC28A3,"Obesity-related traits","sleep measurement",GCST001762,9:84329510
rs2051457-<b>A</b>,"5 x 10-6","(Sleep duration )",0.096,'-,"0.03 min/d increase",[NR],NELL1,"Obesity-related traits","sleep measurement",GCST001762,11:21655796
rs17140875-<b>A</b>,"5 x 10-6","(Sleep duration )",0.051,'-,"0.02 min/d increase",[NR],"TAS2R16, FERD3L","Obesity-related traits","sleep measurement",GCST001762,7:19208655
rs10493631-<b>G</b>,"5 x 10-6","(Sleep duration )",0.306,'-,"0.04 min/d increase",[NR],'-,"Obesity-related traits","sleep measurement",GCST001762,1:80012195
rs543431433-<b>A</b>,"4 x 10-9",,0.0028,'-,"0.26 unit increase",[0.17-0.35],SLC2A9,"Daytime sleepiness","excessive daytime sleepiness measurement",GCST004699,4:10026171
rs573716401-<b>C</b>,"2 x 10-8",,0.0013,'-,"0.42 unit increase",[0.27-0.57],"RNU1-45P, LINC01098","Daytime sleepiness","excessive daytime sleepiness measurement",GCST004699,4:178051807
rs553962214-<b>C</b>,"1 x 10-8",,0.001,'-,"0.41 unit increase",[0.27-0.55],'-,"Daytime sleepiness","excessive daytime sleepiness measurement",GCST004699,8:16703017
rs558006880-<b>A</b>,"2 x 10-8",,0.0014,'-,"0.35 unit increase",[0.23-0.47],PTPRM,"Daytime sleepiness","excessive daytime sleepiness measurement",GCST004699,18:8116745
rs565444861-<b>A</b>,"3 x 10-8",,0.0012,'-,"0.36 unit increase",[0.23-0.49],SLC24A3,"Daytime sleepiness","excessive daytime sleepiness measurement",GCST004699,20:19379476
rs6099524-<b>T</b>,"1 x 10-9",,0.002,'-,"0.29 unit increase",[0.2-0.38],"SNHG17, LBP","Daytime sleepiness","excessive daytime sleepiness measurement",GCST004699,20:38409465
rs34888975-<b>TA</b>,"5 x 10-8",,0.078,'-,"0.044 unit increase",[0.028-0.060],CRAMP1,Snoring,"snoring measurement",GCST004698,16:1645896
rs8045740-<b>G</b>,"6 x 10-14",,0.868,'-,"0.052 unit increase",[0.038-0.066],"GP2, SNRPEP3","Sleep (number of episodes)","sleep quality",GCST007804,16:20251454
rs541594711-<b>A</b>,"2 x 10-8",,0.0017,'-,"0.3 unit increase",[0.2-0.4],ZNF385D,"Daytime nap","daytime rest measurement",GCST004693,3:21913347
rs114515123-<b>T</b>,"3 x 10-8",,0.0011,'-,"0.35 unit increase",[0.22-0.48],CCR3,"Daytime nap","daytime rest measurement",GCST004693,3:46228835
