"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs817156-<b>?</b>,"4 x 10-6",,'-,'-,"4.865 unit increase",[2.94-6.79],LINC00476,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,9:95707077
rs112246048-<b>?</b>,"4 x 10-6",,'-,'-,"4.998 unit increase",[3.14-6.86],"RNU6-535P, ITIH5","Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,10:7520083
rs7107282-<b>?</b>,"3 x 10-6",,'-,'-,"3.959 unit increase",[2.38-5.54],FIBIN,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,11:26944204
rs483743-<b>?</b>,"1 x 10-6",,'-,'-,"3.82 unit increase",[2.36-5.28],F10,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,13:113132633
rs4331298-<b>?</b>,"3 x 10-6",,'-,'-,"4.054 unit increase",[2.45-5.66],THSD4,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,15:71626012
rs72787939-<b>?</b>,"6 x 10-7",,'-,'-,"4.617 unit increase",[3.01-6.22],LINC02195,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,16:26545566
chr16:28719857-<b>?</b>,"4 x 10-6",,'-,'-,"5.25 unit increase",[3.36-7.14],'-,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,"Mapping not available"
rs2317828-<b>?</b>,"2 x 10-6",,'-,'-,"3.72 unit increase",[2.3-5.14],RN7SKP190,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,16:82232986
rs321946-<b>?</b>,"3 x 10-6",,'-,'-,"3.552 unit decrease",[2.15-4.96],ZNF610,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,19:52356575
rs62225548-<b>?</b>,"6 x 10-7",,'-,'-,"3.693 unit decrease",[2.32-5.07],DSCAM,"Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,21:40530804
rs2838538-<b>?</b>,"4 x 10-6",,'-,'-,"4.606 unit increase",[2.81-6.4],"DNMT3L, AIRE","Dental caries (decayed, missing and filled teeth)","dental caries",GCST009267,21:44267388
chr1:158438592-<b>?</b>,"3 x 10-6",,'-,'-,"2.263 unit increase",[1.42-3.1],'-,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,"Mapping not available"
rs11718323-<b>?</b>,"2 x 10-6",,'-,'-,"9.527 unit increase",[6.66-12.39],SGO1-AS1,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,3:20874022
rs78777602-<b>?</b>,"1 x 10-6",,'-,'-,"9.482 unit increase",[6.66-12.3],THRB-AS1,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,3:24779564
rs1568206-<b>?</b>,"9 x 10-7",,'-,'-,"3.087 unit increase",[2.1-4.08],LINC00882,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,3:106920872
rs1505809-<b>?</b>,"5 x 10-6",,'-,'-,"1.867 unit increase",[0.71-3.02],CPNE4,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,3:132182548
rs11932181-<b>?</b>,"2 x 10-6",,'-,'-,"2.104 unit decrease",[1.3-2.91],"SNORA75B, LINC02493","Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,4:17277894
rs1352733-<b>?</b>,"3 x 10-6",,'-,'-,"2.372 unit increase",[1.5-3.24],RNU6-289P,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,4:111359586
rs62316615-<b>?</b>,"3 x 10-6",,'-,'-,"8.023 unit increase",[5.55-10.5],ZGRF1,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,4:112605916
rs57805404-<b>?</b>,"2 x 10-6",,'-,'-,"3.667 unit increase",[2.48-4.86],HSP90AA4P,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,4:189482498
rs11741099-<b>?</b>,"3 x 10-6",,'-,'-,"1.96 unit increase",[1.18-2.74],ADAMTS2,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,5:179237462
rs61497549-<b>?</b>,"3 x 10-6",,'-,'-,"2.343 unit increase",[1.46-3.22],"ZNF815P, RNF216","Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,7:5803211
rs1235058-<b>?</b>,"3 x 10-6",,'-,'-,"2.256 unit increase",[1.42-3.09],VSTM2A,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,7:54546452
rs2515501-<b>?</b>,"5 x 10-6",,'-,'-,"6.477 unit increase",[5.06-7.89],"ANGPT2, MCPH1","Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,8:6555104
rs10504504-<b>?</b>,"3 x 10-6",,'-,'-,"4.624 unit increase",[3.11-6.14],EYA1,"Dental caries (decayed and filled deciduous teeth)","dental caries",GCST009269,8:71273689
rs1122613-<b>?</b>,"3 x 10-6",,'-,'-,"12.54 unit decrease",[7.59-17.49],CEP104,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,1:3852001
rs1003652-<b>?</b>,"5 x 10-6",,'-,'-,"11.67 unit decrease",[6.83-16.51],HPCAL1,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,2:10328170
rs12488352-<b>?</b>,"3 x 10-6",,'-,'-,"12.68 unit increase",[7.63-17.73],C3orf20,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,3:14684161
chr3:194035416-<b>?</b>,"2 x 10-6",,'-,'-,"18.1 unit decrease",[11.55-24.65],'-,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,"Mapping not available"
rs28503910-<b>?</b>,"2 x 10-6",,'-,'-,"17.13 unit increase",[11.14-23.12],"TEMN3-AS1, AFAP1","Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,4:181759556
rs12171500-<b>?</b>,"2 x 10-6",,'-,'-,"57.37 unit increase",[41.72-73.02],ZBED3-AS1,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,5:77164309
rs6947348-<b>?</b>,"1 x 10-6",,'-,'-,"14.59 unit increase",[9.3-19.88],SNX10,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,7:26344128
rs66691214-<b>?</b>,"7 x 10-7",,'-,'-,"13.79 unit increase",[8.97-18.61],MTURN,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,7:30149188
rs7011390-<b>?</b>,"3 x 10-6",,'-,'-,"12.96 unit increase",[7.81-18.11],PPIAP86,"Dental caries (decayed, missing and filled tooth surfaces)","dental caries",GCST009268,8:65392094
