Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs17837210-<b>A</b>,9 x 10-6,,'-,1.8,'-,[1.39-2.33],FAM124A,Placental abruption,Abruptio Placentae,GCST005844,13:51281874
rs219551-<b>T</b>,6 x 10-6,,'-,1.64,'-,[1.33-2.04],NUTF2P8,Placental abruption,Abruptio Placentae,GCST005844,2:21317839
rs799758-<b>T</b>,8 x 10-6,,'-,1.47,'-,[1.24-1.74],GALNT13,Placental abruption,Abruptio Placentae,GCST005844,2:154405632
rs76258369-<b>T</b>,3 x 10-6,,'-,1.56,'-,[1.3-1.88],"LINC01019, IRX1",Placental abruption,Abruptio Placentae,GCST005844,5:3545433
rs30080-<b>?</b>,5 x 10-6,,'-,1.369863,'-,[1.2-1.59],DOCK2,Placental abruption,Abruptio Placentae,GCST005844,5:169846553
rs4867606-<b>A</b>,5 x 10-6,,'-,1.82,'-,[1.41-2.36],KCNIP1,Placental abruption,Abruptio Placentae,GCST005844,5:170497691
rs11995662-<b>?</b>,5 x 10-6,,'-,1.6393442,'-,[1.33-2.04],PDGFRL,Placental abruption,Abruptio Placentae,GCST005844,8:17641221
rs7094759-<b>?</b>,4 x 10-6,,'-,1.3513513,'-,[1.19-1.54],ADAM12,Placental abruption,Abruptio Placentae,GCST005844,10:126163537
rs2291228-<b>A</b>,8 x 10-6,,'-,0.729927,'-,[1.19-1.57],"DOCK2, INSYN2B",Placental abruption,Abruptio Placentae,GCST005844,5:169861728
rs34288836-<b>?</b>,4 x 10-6,,NR,2.52,'-,'-,"GALNT3, TTC21B",Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,2:165809595
rs113018921-<b>?</b>,8 x 10-6,,NR,2.82,'-,'-,MSI2,Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,17:57647536
rs11788387-<b>?</b>,6 x 10-7,,NR,2.96,'-,'-,RNA5SP287,Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,9:81855961
rs118112762-<b>?</b>,7 x 10-6,,NR,3.25,'-,'-,FNDC3A,Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,13:49071567
rs17766756-<b>?</b>,3 x 10-6,,NR,3.78,'-,'-,"NKAIN2, RNF217-AS1",Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,6:124704154
rs202013048-<b>?</b>,4 x 10-6,,NR,3.78,'-,'-,"MTHFD2P4, FSTL5",Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,4:162241645
rs61887835-<b>?</b>,7 x 10-6,,NR,4.7,'-,'-,LGR4,Spontaneous preterm birth with premature rupture of membranes,"preterm premature rupture of the membranes, spontaneous preterm birth",GCST008180,11:27409619
