"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs35198068-<b>T</b>,"4 x 10-28",,0.71,'-,'-,'-,'-,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,"Mapping not available"
rs429358-<b>T</b>,"1 x 10-126",,0.8533,'-,'-,'-,'-,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,"Mapping not available"
rs4970836-<b>G</b>,"3 x 10-8",,0.2367,'-,'-,'-,"CELSR2, PSRC1","Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,1:109279175
rs1230666-<b>G</b>,"2 x 10-9",,0.8533,'-,'-,'-,MAGI3,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,1:113630788
rs1275922-<b>G</b>,"2 x 10-8",,0.74,'-,'-,'-,KCNK3,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,2:26710019
rs700635-<b>A</b>,"2 x 10-8",,0.7233,'-,'-,'-,FLACC1,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,2:201288502
rs2643826-<b>C</b>,"4 x 10-8",,0.5533,'-,'-,'-,"Y_RNA, RNU1-96P","Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,3:27521497
rs61348208-<b>T</b>,"3 x 10-8",,0.3967,'-,'-,'-,HTT,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,4:3087837
rs17499404-<b>A</b>,"4 x 10-8",,0.5367,'-,'-,'-,LINC02513,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,4:38383858
rs12203592-<b>C</b>,"8 x 10-26",,0.81,'-,'-,'-,IRF4,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,6:396321
rs34831921-<b>A</b>,"6 x 10-13",,0.1,'-,'-,'-,"HLA-DRB1, HLA-DQA1","Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,6:32622991
rs1159806-<b>T</b>,"1 x 10-8",,0.3467,'-,'-,'-,"LINC00222, FOXO3","Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,6:108685635
rs10455872-<b>A</b>,"4 x 10-30",,0.9267,'-,'-,'-,LPA,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,6:160589086
rs7859727-<b>C</b>,"4 x 10-18",,0.51,'-,'-,'-,CDKN2B-AS1,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,9:22102166
rs1126809-<b>G</b>,"8 x 10-13",,0.7133,'-,'-,'-,TYR,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,11:89284793
rs61905747-<b>A</b>,"4 x 10-10",,0.8167,'-,'-,'-,ZW10,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,11:113769120
rs12830425-<b>G</b>,"8 x 10-9",,0.0733,'-,'-,'-,FGD6,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,12:95187042
rs7137828-<b>T</b>,"5 x 10-12",,0.5167,'-,'-,'-,ATXN2,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,12:111494996
rs8042849-<b>T</b>,"1 x 10-24",,0.64,'-,'-,'-,HYKK,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,15:78525587
rs6224-<b>G</b>,"2 x 10-9",,0.53,'-,'-,'-,FURIN,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,15:90880313
rs4783780-<b>A</b>,"1 x 10-8",,0.5333,'-,'-,'-,TOX3,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,16:52537524
rs4268748-<b>T</b>,"7 x 10-12",,0.7067,'-,'-,'-,DEF8,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,16:89960104
rs6511720-<b>T</b>,"4 x 10-9",,0.12,'-,'-,'-,LDLR,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,19:11091630
rs159428-<b>T</b>,"4 x 10-8",,0.4633,'-,'-,'-,NOL4L,"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)","longevity, healthspan, parental longevity",GCST011100,20:32511508
rs1356888-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,NRXN1,Longevity,longevity,GCST000785,2:50288880
rs9616906-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,"ARSA, Y_RNA",Longevity,longevity,GCST000785,22:50666252
rs3212335-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,GABRB3,Longevity,longevity,GCST000785,15:26766994
rs2031577-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,MIR6078,Longevity,longevity,GCST000785,10:4007811
rs6489785-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,'-,Longevity,longevity,GCST000785,"Mapping not available"
rs3847687-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,ADGRD1,Longevity,longevity,GCST000785,12:131040508
rs4891159-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,ZNF516,Longevity,longevity,GCST000785,18:76389985
rs4745062-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,TRPM3,Longevity,longevity,GCST000785,9:71169348
rs2024714-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,CDH4,Longevity,longevity,GCST000785,20:61637438
rs2882281-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,PEX12P1,Longevity,longevity,GCST000785,13:89970201
rs9876781-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,"ATRIP, TMA7",Longevity,longevity,GCST000785,3:48445934
rs9517320-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,STK24,Longevity,longevity,GCST000785,13:98474049
rs4148546-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,ABCC4,Longevity,longevity,GCST000785,13:95028031
rs739401-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,CARS1,Longevity,longevity,GCST000785,11:3015094
rs4721135-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,MAD1L1,Longevity,longevity,GCST000785,7:1872586
rs432203-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,TGFA,Longevity,longevity,GCST000785,2:70537556
rs7315621-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,LINC02414,Longevity,longevity,GCST000785,12:131600651
rs16975963-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,WDR87BP,Longevity,longevity,GCST000785,19:37834896
rs4732038-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,AKR1B15,Longevity,longevity,GCST000785,7:134565570
rs4468878-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,CDH4,Longevity,longevity,GCST000785,20:61353181
rs13008689-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,LINC00299,Longevity,longevity,GCST000785,2:8390126
rs10256972-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,C7orf50,Longevity,longevity,GCST000785,7:999367
rs3106598-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,LINC00378,Longevity,longevity,GCST000785,13:61104778
rs13053175-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,"SSTR3, RAC2",Longevity,longevity,GCST000785,22:37217269
rs5766691-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,TBC1D22A,Longevity,longevity,GCST000785,22:47136753
rs13118159-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,UVSSA,Longevity,longevity,GCST000785,4:1371339
rs7168365-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,WDR72,Longevity,longevity,GCST000785,15:53513628
rs7493138-<b>?</b>,"1 x 10-6","(less than or equal to)",NR,'-,'-,'-,"RPL26P3, LINC02300",Longevity,longevity,GCST000785,14:28552722
