Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs579459-<b>C</b>,2 x 10-8,,0.246,'-,3.045 unit decrease,[1.99-4.1],"ABO, Y_RNA",Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST010047,9:133278724
rs495828-<b>T</b>,4 x 10-59,(ALP),0.28,'-,0.308 unit decrease,[0.27-0.35],"ABO, Y_RNA",Hematological and biochemical traits,alkaline phosphatase measurement,GCST000583,9:133279294
rs7173947-<b>C</b>,3 x 10-8,(ALP),0.29,'-,0.105 unit decrease,[0.068-0.142],'-,Hematological and biochemical traits,alkaline phosphatase measurement,GCST000583,15:94727238
rs2242420-<b>T</b>,5 x 10-13,(ALP),0.18,'-,0.163 unit increase,[0.12-0.21],ALPL,Hematological and biochemical traits,alkaline phosphatase measurement,GCST000583,1:21578036
rs3181238-<b>?</b>,1 x 10-13,,NR,'-,0.03243 unit increase,[0.024-0.041],TDP2,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,6:24654215
rs1827293-<b>?</b>,2 x 10-106,,NR,'-,0.0953 unit increase,[0.087-0.104],NBPF3,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:21468895
rs74614333-<b>?</b>,2 x 10-13,,NR,'-,0.04342 unit decrease,[0.032-0.055],ALPL,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:21518031
rs55708111-<b>?</b>,2 x 10-6,,NR,'-,0.05466 unit increase,[0.032-0.077],ALPL,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:21549243
rs77972946-<b>?</b>,2 x 10-17,(conditional on round 5),NR,'-,0.040110756 unit decrease,[0.031-0.049],RAP1GAP,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:21628472
rs139089160-<b>?</b>,2 x 10-22,,NR,'-,0.157 unit decrease,[0.13-0.19],CDA,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:20592062
rs2229450-<b>?</b>,9 x 10-20,,NR,'-,0.05636 unit decrease,[0.044-0.069],ECE1,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:21247229
rs143370804-<b>?</b>,3 x 10-13,(conditional on round 8),NR,'-,0.06288284 unit increase,[0.046-0.08],EIF4G3,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:21024072
rs2642438-<b>?</b>,2 x 10-8,,NR,'-,0.03299 unit increase,[0.022-0.044],MTARC1,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,1:220796686
rs2593704-<b>?</b>,9 x 10-11,,NR,'-,0.0335 unit decrease,[0.023-0.044],MGAT5,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,2:134247706
rs73766540-<b>?</b>,1 x 10-8,,NR,'-,0.02967 unit increase,[0.02-0.04],ATP6AP1L,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,5:82427213
rs144391488-<b>?</b>,1 x 10-10,,NR,'-,0.04511 unit increase,[0.031-0.059],"TSBP1-AS1, BTNL2",Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,6:32400783
rs117047270-<b>?</b>,2 x 10-8,,NR,'-,0.04745 unit decrease,[0.031-0.064],SLC26A4,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,7:107664388
rs10091910-<b>?</b>,3 x 10-9,,NR,'-,0.02627 unit decrease,[0.018-0.035],NCOA2,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,8:70196313
rs11573824-<b>?</b>,2 x 10-22,,NR,'-,0.04675 unit increase,[0.037-0.056],TNFRSF11B,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,8:118947686
rs2419607-<b>?</b>,2 x 10-10,,NR,'-,0.02829 unit decrease,[0.02-0.037],"GPAM, TECTB",Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,10:112218741
rs12277152-<b>?</b>,3 x 10-38,,NR,'-,0.06419 unit increase,[0.054-0.074],"IFITM5, PGGHG",Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,11:296255
rs58270597-<b>?</b>,1 x 10-9,,NR,'-,0.02703 unit decrease,[0.018-0.036],TRIM5,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,11:5667453
rs78406497-<b>?</b>,6 x 10-12,,NR,'-,0.03371 unit increase,[0.024-0.043],DENND2B,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,11:8804524
rs11216930-<b>?</b>,2 x 10-13,,NR,'-,0.03955 unit decrease,[0.029-0.05],PHLDB1,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,11:118618067
rs7966590-<b>?</b>,5 x 10-33,,NR,'-,0.05703 unit increase,[0.048-0.066],B4GALNT3,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,12:461674
rs9393539-<b>?</b>,7 x 10-6,,NR,'-,0.0284 unit decrease,[0.016-0.041],DCDC2,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,6:24241472
rs12197384-<b>?</b>,2 x 10-8,(conditional on round 6),NR,'-,0.042498447 unit decrease,[0.028-0.057],KIAA0319,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,6:24549087
rs9533177-<b>?</b>,4 x 10-21,,NR,'-,0.04133 unit decrease,[0.033-0.05],TNFSF11,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,13:42615089
rs9524568-<b>?</b>,2 x 10-8,,NR,'-,0.0258 unit decrease,[0.017-0.035],GPR180,Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,13:94627251
rs2445752-<b>?</b>,5 x 10-9,,NR,'-,0.02633 unit decrease,[0.018-0.035],"MIR4713HG, CYP19A1",Serum alkaline phosphatase levels,alkaline phosphatase measurement,GCST006016,15:51284188
