Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs548509555-<b>TA</b>,8 x 10-9,,0.2,'-,0.032 unit increase,NR,'-,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,13:57027767
rs527504-<b>A</b>,4 x 10-9,,0.19,'-,0.032 unit decrease,NR,"TMEM54, RNF19B",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,1:32926826
rs1859259-<b>T</b>,1 x 10-9,,0.58,'-,0.025 unit decrease,NR,ADGRG5,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,16:57562640
rs77406149-<b>G</b>,3 x 10-10,,0.2,'-,0.035 unit increase,NR,STXBP4,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,17:54998886
rs79058858-<b>T</b>,1 x 10-8,,0.0052,'-,0.16 unit increase,NR,FLT3LG,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,19:49476532
rs117587217-<b>C</b>,1 x 10-8,,0.016,'-,0.1 unit decrease,NR,'-,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,21:15258852
rs2842873-<b>T</b>,2 x 10-36,,0.37,'-,0.056 unit decrease,NR,"PMF1-BGLAP, PMF1",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,1:156234862
rs4683900-<b>T</b>,8 x 10-19,,0.73,'-,0.042 unit increase,NR,SENP7,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,3:101415852
rs2853677-<b>A</b>,2 x 10-9,,0.7,'-,0.027 unit increase,NR,TERT,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,5:1287079
rs56116444-<b>G</b>,9 x 10-81,,0.31,'-,0.086 unit decrease,NR,"NREP, STARD4-AS1",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,5:111726150
rs11251-<b>T</b>,3 x 10-11,,0.54,'-,0.028 unit increase,NR,CD164,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,6:109368704
rs4709819-<b>A</b>,1 x 10-30,,0.41,'-,0.049 unit increase,NR,'-,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,6:164042323
rs11769630-<b>A</b>,4 x 10-19,,0.13,'-,0.057 unit decrease,NR,"SPATA48, IKZF1",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,7:50218107
rs2979469-<b>C</b>,5 x 10-8,,0.88,'-,0.035 unit decrease,NR,RBPMS,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,8:30427575
rs227079-<b>A</b>,6 x 10-26,,0.48,'-,0.044 unit decrease,NR,C11orf65,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,11:108377959
rs728739-<b>G</b>,4 x 10-18,,0.055,'-,0.081 unit increase,NR,TCL1A,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,14:95715725
rs12668837-<b>T</b>,2 x 10-9,,0.46,'-,0.026 unit decrease,NR,"ESYT2, NCAPG2",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,7:158708114
rs77874075-<b>G</b>,5 x 10-9,,0.22,'-,0.03 unit decrease,NR,"CENPN-AS1, CENPN",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,16:81032734
rs201753350-<b>T</b>,1 x 10-8,,0.0062,'-,0.15 unit decrease,NR,TP53,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,17:7676387
rs78997619-<b>T</b>,3 x 10-21,,0.06,'-,0.083 unit increase,NR,"FAM117A, SLC35B1",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,17:49709799
rs2804301-<b>A</b>,4 x 10-8,,0.24,'-,0.027 unit decrease,NR,KANK1,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,9:603916
rs9487023-<b>A</b>,4 x 10-8,,0.1,'-,0.04 unit increase,NR,CCDC162P,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,6:109268801
rs138423884-<b>G</b>,1 x 10-12,,0.038,'-,0.079 unit increase,NR,"RALGPS1, ANGPTL2",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,9:127093658
rs2646425-<b>T</b>,4 x 10-10,,0.31,'-,0.028 unit increase,NR,KRT8P37,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,10:8428424
rs12225799-<b>G</b>,1 x 10-8,,0.13,'-,0.036 unit decrease,NR,PSMD13,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,11:241124
rs2237896-<b>A</b>,2 x 10-22,,0.4,'-,0.043 unit increase,NR,KCNQ1,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,11:2837210
rs74843651-<b>T</b>,2 x 10-8,,0.052,'-,0.055 unit increase,NR,SPON1-AS1,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,11:14271441
rs10849448-<b>G</b>,2 x 10-18,,0.81,'-,0.05 unit decrease,NR,LTBR,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,12:6384185
rs34324-<b>A</b>,3 x 10-19,,0.43,'-,0.039 unit decrease,NR,"CDKN1B, APOLD1",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009066,12:12724992
undefined,2 x 10-17,,NR,'-,'-,'-,TPX2,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,20:31767936
rs34468831-<b>G</b>,6 x 10-8,,0.09,'-,0.012 unit increase,'-,PRDM16,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,1:3180749
rs10687116-<b>?</b>,9 x 10-10,,NR,'-,'-,'-,"MIR3168, RN7SL597P",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,13:41103946
rs115854006-<b>?</b>,5 x 10-8,,NR,'-,'-,'-,"SPINK8, FBXW12",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,3:48346680
rs17758695-<b>?</b>,1 x 10-33,,NR,'-,'-,'-,BCL2,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,18:63253621
rs17049722-<b>C</b>,8 x 10-8,,0.86,'-,0.009 unit increase,'-,LINC01122,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,2:58749728
rs34778241-<b>TG</b>,1 x 10-24,,0.62,'-,0.013 unit increase,'-,EIF4E3,Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,3:71722065
rs2811487-<b>G</b>,3 x 10-12,,0.77,'-,0.01 unit increase,'-,"RPN1, LINC01565",Mosaic loss of chromosome Y (Y chromosome dosage),mosaic loss of chromosome Y measurement,GCST009067,3:128613036
