Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs12967053-<b>T</b>,5 x 10-6,,NR,'-,0.156 unit decrease,[0.091-0.221],MYO5B,Academic attainment (maths),educational attainment,GCST011357,18:50109537
rs146283583-<b>T</b>,5 x 10-6,,NR,'-,0.326 unit increase,[0.19-0.47],EBF4,Academic attainment (maths),educational attainment,GCST011357,20:2755913
rs66795148-<b>T</b>,7 x 10-6,,NR,'-,0.086 unit increase,[0.049-0.123],MIR6130,Academic attainment (maths),educational attainment,GCST011357,21:22984186
rs62219796-<b>T</b>,1 x 10-5,,NR,'-,0.09 unit increase,[0.051-0.129],BCR,Academic attainment (maths),educational attainment,GCST011357,22:23289636
rs180928518-<b>G</b>,9 x 10-6,,NR,'-,0.418 unit increase,[0.23-0.6],MB21D2,Academic attainment (science),educational attainment,GCST011356,3:192926077
rs27565-<b>T</b>,7 x 10-6,,NR,'-,0.084 unit increase,[0.047-0.121],PART1,Academic attainment (science),educational attainment,GCST011356,5:60541764
rs13158665-<b>T</b>,4 x 10-6,,NR,'-,0.085 unit decrease,[0.05-0.12],ELOVL7,Academic attainment (science),educational attainment,GCST011356,5:60773230
rs1444240-<b>G</b>,2 x 10-6,,NR,'-,0.089 unit decrease,[0.052-0.126],ELOVL7,Academic attainment (science),educational attainment,GCST011356,5:60774107
rs10462335-<b>G</b>,8 x 10-7,,NR,'-,0.089 unit decrease,[0.054-0.124],MEF2C,Academic attainment (science),educational attainment,GCST011356,5:88792387
rs13171212-<b>T</b>,3 x 10-6,,NR,'-,0.097 unit decrease,[0.056-0.138],"POLD2P1, NR2F1-AS1",Academic attainment (science),educational attainment,GCST011356,5:93338581
rs4869194-<b>T</b>,7 x 10-6,,NR,'-,0.104 unit decrease,[0.059-0.149],"POLD2P1, NR2F1-AS1",Academic attainment (science),educational attainment,GCST011356,5:93339294
rs264864-<b>G</b>,7 x 10-7,,NR,'-,0.097 unit increase,[0.058-0.136],"DOCK2, SPDL1",Academic attainment (science),educational attainment,GCST011356,5:169634458
rs10100356-<b>G</b>,5 x 10-6,,NR,'-,0.099 unit decrease,[0.056-0.142],CCDC26,Academic attainment (science),educational attainment,GCST011356,8:129613918
rs4736679-<b>G</b>,5 x 10-6,,NR,'-,0.177 unit increase,[0.1-0.25],ST3GAL1,Academic attainment (science),educational attainment,GCST011356,8:133487669
rs1554968-<b>T</b>,6 x 10-7,,NR,'-,0.147 unit increase,[0.09-0.204],ST3GAL1,Academic attainment (science),educational attainment,GCST011356,8:133495661
rs10905791-<b>T</b>,2 x 10-6,,NR,'-,0.091 unit increase,[0.054-0.128],ASB13,Academic attainment (science),educational attainment,GCST011356,10:5646122
rs11603691-<b>G</b>,3 x 10-6,,NR,'-,0.133 unit decrease,[0.078-0.188],P2RX3,Academic attainment (science),educational attainment,GCST011356,11:57340143
rs2415955-<b>T</b>,7 x 10-6,,NR,'-,0.081 unit decrease,[0.046-0.116],LINC00871,Academic attainment (science),educational attainment,GCST011356,14:46334472
rs7141746-<b>G</b>,1 x 10-7,,NR,'-,0.102 unit decrease,[0.065-0.139],"SERPINA12, SERPINA4",Academic attainment (science),educational attainment,GCST011356,14:94527599
rs237149-<b>G</b>,1 x 10-5,,NR,'-,0.082 unit decrease,[0.047-0.117],LINC02195,Academic attainment (science),educational attainment,GCST011356,16:26638319
rs2529909-<b>T</b>,8 x 10-6,,NR,'-,0.127 unit increase,[0.072-0.182],"CDRT15P1, COX10-AS1",Academic attainment (science),educational attainment,GCST011356,17:14025317
rs35751000-<b>G</b>,9 x 10-6,,NR,'-,0.082 unit increase,[0.047-0.117],GGNBP2,Academic attainment (science),educational attainment,GCST011356,17:36557688
rs35681564-<b>G</b>,1 x 10-5,,NR,'-,0.104 unit decrease,[0.057-0.151],"LYPD3, TEX101",Academic attainment (science),educational attainment,GCST011356,19:43455236
rs62133140-<b>T</b>,5 x 10-6,,NR,'-,0.087 unit decrease,[0.05-0.124],"LILRB2, RNU6-1307P",Academic attainment (science),educational attainment,GCST011356,19:54269178
rs28579792-<b>T</b>,3 x 10-6,,NR,'-,0.091 unit decrease,[0.052-0.13],CDH4,Academic attainment (science),educational attainment,GCST011356,20:61362403
rs35739539-<b>T</b>,3 x 10-6,,NR,'-,0.145 unit increase,[0.084-0.206],RNU6-113P,Academic attainment (science),educational attainment,GCST011356,21:17431415
rs9529641-<b>A</b>,5 x 10-8,,NR,'-,0.1152 unit increase,[0.074-0.156],'-,Academic attainment (science),educational attainment,GCST011356,13:34745038
rs6688495-<b>G</b>,5 x 10-6,,NR,'-,0.117 unit decrease,[0.066-0.168],'-,Academic attainment (science),educational attainment,GCST011356,1:102739091
