ID,Gene,gene-onnection,Status,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
844,ARHGAP24,ARHGAP24,N/a,rs744597-<b>?</b>,2 x 10-6,,'-,'-,'-,'-,ARHGAP24,Peanut allergy,peanut allergy measurement,GCST006039,4:85415875,Allergy
2078,C11orf71,C11orf71,N/a,rs4938096-<b>T</b>,1 x 10-6,(African),0.21,1.3,'-,[1.17‐1.44],"NNMT, C11orf71",Asthma,asthma,GCST005212,11:114365008,Allergy
2080,C11orf71,C11orf71,N/a,rs11214966-<b>?</b>,6 x 10-7,,NR,'-,'-,'-,"C11orf71, NNMT",Asthma,asthma,GCST001182,11:114360533,Allergy
2071,NONOP2,NONOP2,N/a,rs67766926-<b>?</b>,7 x 10-9,(Shared),NR,'-,'-,'-,"NONOP2, REL",Inflammatory skin disease,"atopic eczema, psoriasis",GCST002740,2:60936446,Allergy
1641,S100A11,S100A11,N/a,rs115288876-<b>?</b>,2 x 10-28,,NR,'-,'-,'-,"NBPF18P, S100A11",Eczema,Eczema,GCST007075,1:152027641,Allergy
2072,S100A11,S100A11,N/a,rs78914480-<b>A</b>,8 x 10-11,,0.014657419,2.400272,'-,[1.843869165-3.124573471],S100A11,Atopic dermatitis,atopic eczema,GCST90013680,1:152033551,Allergy
2076,S100A11,S100A11,N/a,rs115045402-<b>A</b>,2 x 10-20,,NR,1.249,'-,[1.2-1.3],"SPTLC1P4, S100A11",Asthma,asthma,GCST007798,1:152057072,Allergy
2158,S100A11,S100A11,N/a,rs115288876-<b>?</b>,2 x 10-8,,NR,1.15,'-,[1.09-1.21],"NBPF18P, S100A11","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,1:152027641,Allergy
2160,S100A11,S100A11,N/a,rs115045402-<b>A</b>,2 x 10-47,,0.028,'-,0.202 unit decrease,[0.17-0.23],"SPTLC1P4, S100A11","Allergic disease (asthma, hay fever and/or eczema) (age of onset)","allergy, age at onset",GCST010985,1:152057072,Allergy
2161,S100A11,S100A11,N/a,rs115045402-<b>A</b>,2 x 10-15,,0.028,'-,0.123 unit decrease,[0.094-0.152],"SPTLC1P4, S100A11","Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis)",allergy,GCST010984,1:152057072,Allergy
2068,TGM3,TGM3,N/a,rs1012621-<b>?</b>,5 x 10-6,(Shared),NR,'-,'-,'-,TGM3,Inflammatory skin disease,"atopic eczema, psoriasis",GCST002740,20:2325666,Allergy
1655,ALG1L13P,ALG1L13P,N/a,rs2945247-<b>?</b>,5 x 10-11,,NR,'-,0.0163992 unit increase,[0.012-0.021],"ALG1L13P, FAM86B3P",Processed meat consumption,diet measurement,GCST010132,8:8238482,Anthropometric
1832,AP1S1,AP1S1,N/a,rs1048303-<b>T</b>,1 x 10-10,,0.5817,'-,0.011 unit decrease,[0.0077-0.0143],AP1S1,Body mass index,body mass index,GCST009004,7:101160859,Anthropometric
1833,AP1S1,AP1S1,N/a,rs2074683-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,AP1S1,Body mass index,body mass index,GCST007039,7:101160333,Anthropometric
1834,AP1S1,AP1S1,N/a,rs2074683-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,AP1S1,Body mass index,body mass index,GCST009871,7:101160333,Anthropometric
1895,AP1S1,AP1S1,N/a,rs2074686-<b>G</b>,3 x 10-9,,0.410365,'-,0.00827977 unit increase,[0.0055-0.011],AP1S1,Adult body size,body height,GCST010988,7:101157354,Anthropometric
216,APOB,APOB,N/a,rs562338-<b>?</b>,5 x 10-21,,NR,'-,'-,'-,"APOB, TDRD15","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,2:21065449,Anthropometric
224,APOB,APOB,N/a,rs562338-<b>?</b>,5 x 10-21,,NR,'-,'-,'-,"APOB, TDRD15","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,2:21065449,Anthropometric
226,APOB,APOB,N/a,rs562338-<b>?</b>,3 x 10-25,,NR,'-,'-,'-,"APOB, TDRD15",Age-related disease endophenotypes,"total cholesterol measurement, diastolic blood pressure, triglyceride measurement, systolic blood pressure, hematocrit, ventricular rate measurement, glucose measurement, body mass index, high density lipoprotein cholesterol measurement",GCST004046,2:21065449,Anthropometric
1443,ARHGAP24,ARHGAP24,N/a,rs17010957-<b>T</b>,2 x 10-32,,0.852799,'-,0.0310197 unit decrease,[0.026-0.036],ARHGAP24,Heel bone mineral density,heel bone mineral density,GCST006979,4:85798012,Anthropometric
1444,ARHGAP24,ARHGAP24,N/a,rs72976751-<b>?</b>,3 x 10-28,,NR,'-,0.0313374 unit decrease,[0.025-0.037],ARHGAP24,Heel bone mineral density,heel bone mineral density,GCST006433,4:85804806,Anthropometric
1445,ARHGAP24,ARHGAP24,N/a,rs17010957-<b>?</b>,1 x 10-29,,NR,'-,0.0316563 unit decrease,[0.026-0.037],ARHGAP24,Heel bone mineral density,heel bone mineral density,GCST006433,4:85798012,Anthropometric
1446,ARHGAP24,ARHGAP24,N/a,rs72976751-<b>A</b>,1 x 10-11,,0.860876,'-,0.0342643 unit decrease,[0.025-0.044],ARHGAP24,Heel bone mineral density,heel bone mineral density,GCST006288,4:85804806,Anthropometric
1447,ARHGAP24,ARHGAP24,N/a,rs72976751-<b>A</b>,5 x 10-11,(women),0.860578,'-,0.0427462 unit decrease,[0.03-0.056],ARHGAP24,Heel bone mineral density,heel bone mineral density,GCST006288,4:85804806,Anthropometric
1448,ARHGAP24,ARHGAP24,N/a,rs79980676-<b>?</b>,9 x 10-34,,NR,'-,'-,'-,ARHGAP24,Heel bone mineral density,heel bone mineral density,GCST007066,4:85825103,Anthropometric
1890,ARHGAP24,ARHGAP24,N/a,rs552283803-<b>C</b>,4 x 10-8,,0.0016,'-,0.05250504 m decrease,[0.034-0.071],ARHGAP24,Height,body height,GCST004212,4:85575677,Anthropometric
1891,ARHGAP24,ARHGAP24,N/a,rs17010957-<b>?</b>,1 x 10-20,,NR,'-,'-,'-,ARHGAP24,Height,body height,GCST007841,4:85798012,Anthropometric
