ID,Imprinted Gene,Gene,Paternal/Maternal,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
893,HNF1A,HNF1A,Not specified,rs1696390-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,"HNF1A-AS1, RPL12P33",Asthma (childhood onset),childhood onset asthma,GCST009841,12:120920841,Allergy
894,HNF1A,HNF1A,Not specified,rs6489785-<b>T</b>,2 x 10-15,,0.37,1.043,'-,[1.03-1.05],"HNF1A-AS1, RPL12P33","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:120925921,Allergy
895,HNF1A,HNF1A,Not specified,rs1696361-<b>T</b>,1 x 10-11,,0.359,1.109,'-,[1.076-1.142],"HNF1A-AS1, RPL12P33",Asthma (childhood onset),childhood onset asthma,GCST007995,12:120926020,Allergy
896,HNF1A,HNF1A,Not specified,rs1696361-<b>T</b>,7 x 10-7,,0.359,'-,0.696 unit decrease,[0.42-0.97],"HNF1A-AS1, RPL12P33",Asthma (age of onset),asthma,GCST007994,12:120926020,Allergy
897,HNF1A,HNF1A,Not specified,rs77741769-<b>C</b>,3 x 10-8,,0.653693,1.0367322,'-,[1.02-1.05],"HNF1A-AS1, RPL12P33",Asthma,asthma,GCST008916,12:120926032,Allergy
898,HNF1A,HNF1A,Not specified,rs61946386-<b>?</b>,1 x 10-8,,NR,'-,'-,'-,"HNF1A-AS1, RPL12P33",Atopic asthma,atopic asthma,GCST009850,12:120926222,Allergy
899,HNF1A,HNF1A,Not specified,rs188074962-<b>G</b>,6 x 10-11,,NR,1.048,'-,[1.03-1.06],"HNF1A-AS1, RPL12P33",Asthma,asthma,GCST007798,12:120927628,Allergy
900,HNF1A,HNF1A,Not specified,rs188074962-<b>G</b>,2 x 10-6,,0.352,1.053,'-,[1.03-1.07],"HNF1A-AS1, RPL12P33",Asthma onset (childhood vs adult),"age at onset, asthma",GCST007797,12:120927628,Allergy
901,HNF1A,HNF1A,Not specified,rs188074962-<b>?</b>,2 x 10-20,,NR,1.073,'-,[1.06-1.09],"HNF1A-AS1, RPL12P33",Asthma (childhood onset),childhood onset asthma,GCST007800,12:120927628,Allergy
1101,HNF1A,HNF1A-AS1,Not specified,rs1696390-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,"HNF1A-AS1, RPL12P33",Asthma (childhood onset),childhood onset asthma,GCST009841,12:120920841,Allergy
1102,HNF1A,HNF1A-AS1,Not specified,rs6489785-<b>T</b>,2 x 10-15,,0.37,1.043,'-,[1.03-1.05],"HNF1A-AS1, RPL12P33","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:120925921,Allergy
1103,HNF1A,HNF1A-AS1,Not specified,rs1696361-<b>T</b>,1 x 10-11,,0.359,1.109,'-,[1.076-1.142],"HNF1A-AS1, RPL12P33",Asthma (childhood onset),childhood onset asthma,GCST007995,12:120926020,Allergy
1104,HNF1A,HNF1A-AS1,Not specified,rs1696361-<b>T</b>,7 x 10-7,,0.359,'-,0.696 unit decrease,[0.42-0.97],"HNF1A-AS1, RPL12P33",Asthma (age of onset),asthma,GCST007994,12:120926020,Allergy
1105,HNF1A,HNF1A-AS1,Not specified,rs77741769-<b>C</b>,3 x 10-8,,0.653693,1.0367322,'-,[1.02-1.05],"HNF1A-AS1, RPL12P33",Asthma,asthma,GCST008916,12:120926032,Allergy
1106,HNF1A,HNF1A-AS1,Not specified,rs61946386-<b>?</b>,1 x 10-8,,NR,'-,'-,'-,"HNF1A-AS1, RPL12P33",Atopic asthma,atopic asthma,GCST009850,12:120926222,Allergy
1107,HNF1A,HNF1A-AS1,Not specified,rs188074962-<b>G</b>,6 x 10-11,,NR,1.048,'-,[1.03-1.06],"HNF1A-AS1, RPL12P33",Asthma,asthma,GCST007798,12:120927628,Allergy
1108,HNF1A,HNF1A-AS1,Not specified,rs188074962-<b>G</b>,2 x 10-6,,0.352,1.053,'-,[1.03-1.07],"HNF1A-AS1, RPL12P33",Asthma onset (childhood vs adult),"age at onset, asthma",GCST007797,12:120927628,Allergy
1109,HNF1A,HNF1A-AS1,Not specified,rs188074962-<b>?</b>,2 x 10-20,,NR,1.073,'-,[1.06-1.09],"HNF1A-AS1, RPL12P33",Asthma (childhood onset),childhood onset asthma,GCST007800,12:120927628,Allergy
2918,RAC1,TIAM2,Not specified,rs12201149-<b>T</b>,9 x 10-9,,0.4147,'-,'-,'-,TIAM2,Asthma,asthma,GCST009720,6:154841029,Allergy
2995,TP53,TP53TG1,Not specified,rs6942407-<b>?</b>,8 x 10-6,,NR,'-,'-,'-,"TP53TG1, TMEM243",Food allergy,food allergy measurement,GCST002790,7:87231997,Allergy
64,RAC1,CYRIB,Not specified,rs408398-<b>?</b>,5 x 10-8,,NR,'-,'-,'-,"AC022973.4, CYRIB",Height,body height,GCST007841,8:129891720,Anthropometric
378,ESR2,ESR2,Not specified,rs2772163-<b>?</b>,9 x 10-22,,NR,'-,'-,'-,ESR2,Height,body height,GCST007841,14:64226667,Anthropometric
379,ESR2,ESR2,Not specified,rs12435857-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,ESR2,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,14:64256807,Anthropometric
902,HNF1A,HNF1A,Not specified,rs1169288-<b>C</b>,1 x 10-7,,0.337,1.04,'-,[1.02-1.05],"HNF1A-AS1, HNF1A",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007518,12:120978847,Anthropometric
903,HNF1A,HNF1A,Not specified,rs1169288-<b>C</b>,2 x 10-10,,0.323,1.04,'-,[1.02-1.06],"HNF1A-AS1, HNF1A",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007516,12:120978847,Anthropometric
904,HNF1A,HNF1A,Not specified,rs1800574-<b>T</b>,1 x 10-7,,NR,1.1,'-,[1.06-1.15],"HNF1A, HNF1A-AS1",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007516,12:120979061,Anthropometric
905,HNF1A,HNF1A,Not specified,rs1800574-<b>T</b>,2 x 10-7,,0.033,1.1,'-,[1.06-1.15],"HNF1A, HNF1A-AS1",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007518,12:120979061,Anthropometric
906,HNF1A,HNF1A,Not specified,rs2243458-<b>?</b>,4 x 10-8,,'-,0.71,'-,NR,HNF1A,Serum C-reactive protein concentration in visceral obesity (waist-hip ratio),"C-reactive protein measurement, obesity",GCST011577,12:120986687,Anthropometric
907,HNF1A,HNF1A,Not specified,rs2393775-<b>?</b>,2 x 10-6,,'-,0.74,'-,NR,HNF1A,Serum C-reactive protein concentration in obesity,"C-reactive protein measurement, obesity",GCST011581,12:120986771,Anthropometric
908,HNF1A,HNF1A,Not specified,rs2393775-<b>?</b>,3 x 10-8,,'-,0.75,'-,NR,HNF1A,Serum C-reactive protein concentration in visceral obesity (waist circumference),"C-reactive protein measurement, obesity",GCST011576,12:120986771,Anthropometric
1110,HNF1A,HNF1A-AS1,Not specified,rs1169288-<b>C</b>,1 x 10-7,,0.337,1.04,'-,[1.02-1.05],"HNF1A-AS1, HNF1A",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007518,12:120978847,Anthropometric
1111,HNF1A,HNF1A-AS1,Not specified,rs1169288-<b>C</b>,2 x 10-10,,0.323,1.04,'-,[1.02-1.06],"HNF1A-AS1, HNF1A",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007516,12:120978847,Anthropometric
1112,HNF1A,HNF1A-AS1,Not specified,rs1800574-<b>T</b>,1 x 10-7,,NR,1.1,'-,[1.06-1.15],"HNF1A, HNF1A-AS1",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007516,12:120979061,Anthropometric
1113,HNF1A,HNF1A-AS1,Not specified,rs1800574-<b>T</b>,2 x 10-7,,0.033,1.1,'-,[1.06-1.15],"HNF1A, HNF1A-AS1",Type 2 diabetes (adjusted for BMI),type II diabetes mellitus,GCST007518,12:120979061,Anthropometric
2508,RAC1,PAK5,Not specified,rs6056891-<b>G</b>,8 x 10-6,(Height z-score ),0.268,'-,0.03 SD increase,[NR],PAK5,Obesity-related traits,body height,GCST001762,20:9798081,Anthropometric
2517,RAC1,PAK5,Not specified,rs2423401-<b>?</b>,1 x 10-7,,NR,'-,'-,'-,PAK5,Hand grip strength (Mahalanobis distance),grip strength measurement,GCST010278,20:9668426,Anthropometric
2519,RAC1,PAK6,Not specified,rs4924439-<b>A</b>,1 x 10-6,(IGFBP-3 ),0.051,'-,0.03 ng/mL increase,[NR],"BUB1B-PAK6, PAK6",Obesity-related traits,IGFBP-3 measurement,GCST001762,15:40240667,Anthropometric
