"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs2631781-<b>?</b>,"1 x 10-6",(AA),NR,'-,"0.051 unit increase",'-,ST6GALNAC3,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,1:76128101
rs181126208-<b>?</b>,"7 x 10-8",(AA),NR,'-,"0.066 unit increase",'-,EDARADD,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,1:236495210
rs75639901-<b>?</b>,"5 x 10-7",(AA),NR,'-,"0.039 unit increase",'-,SCGN,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,6:25667803
rs9472719-<b>?</b>,"9 x 10-7",,NR,'-,"0.008 unit increase",'-,"ENPP5, ACTG1P9","Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,6:46183649
rs7810240-<b>?</b>,"2 x 10-7",,NR,'-,"0.015 unit decrease",'-,ZNF775,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,7:150387372
rs34030778-<b>?</b>,"4 x 10-8",(AA),NR,'-,"0.124 unit increase",'-,"CLN8, KBTBD11-OT1","Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,8:1771328
rs114007472-<b>?</b>,"8 x 10-7",(AA),NR,'-,"0.071 unit increase",'-,RN7SKP135,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,8:63563681
rs4988198-<b>?</b>,"9 x 10-7",(AA),NR,'-,"0.058 unit increase",'-,MCM6,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,2:135861240
rs141864436-<b>?</b>,"1 x 10-7",(AA),NR,'-,"0.062 unit increase",'-,NRXN1,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,2:50971652
rs145010525-<b>?</b>,"8 x 10-7",(AA),NR,'-,"0.058 unit increase",'-,DARS1,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,2:135975206
rs115990514-<b>?</b>,"5 x 10-7",(AA),NR,'-,"0.065 unit increase",'-,KCNH8,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,3:19055898
rs115092681-<b>?</b>,"1 x 10-6",(AA),NR,'-,"0.061 unit increase",'-,NLGN1,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,3:174201323
rs112284299-<b>?</b>,"1 x 10-7",(AA),NR,'-,"0.065 unit increase",'-,PEX5L,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,3:179850308
rs10034465-<b>?</b>,"1 x 10-7",(AA),NR,'-,"0.053 unit increase",'-,LINC02484,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,4:34193882
rs6847878-<b>?</b>,"1 x 10-6",(AA),NR,'-,"0.062 unit increase",'-,"RASGEF1B, RNU5A-2P","Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,4:81419698
rs80333777-<b>?</b>,"5 x 10-7",,NR,'-,"0.02 unit increase",'-,FBXL7,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,5:15524361
rs75298135-<b>?</b>,"4 x 10-7",(AA),NR,'-,"0.065 unit increase",'-,'-,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,5:28184372
rs113816795-<b>?</b>,"2 x 10-7",(AA),NR,'-,"0.072 unit increase",'-,HSPB3,"Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","response to simvastatin, type II diabetes mellitus, total cholesterol change measurement, response to fenofibrate",GCST004765,5:99159794
