Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs7499584-<b>A</b>,2 x 10-6,,0.297,'-,0.15939355 unit increase,'-,"UNGP1, SALL1",Diabetes mellitus,diabetes mellitus,GCST005766,16:51205506
rs10437851-<b>A</b>,3 x 10-6,,0.0597,2.356,'-,[1.641-3.381],"MIR4497, GLTP",Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,12:109848624
rs141229873-<b>C</b>,5 x 10-6,,0.02766,2.841,'-,[1.811-4.457],'-,Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,13:31457661
rs117760252-<b>G</b>,8 x 10-6,,0.04684,2.38,'-,[1.628-3.478],RPP40P2,Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,13:59189406
rs75065922-<b>A</b>,4 x 10-7,,0.0101,4.89,'-,[2.646-9.037],'-,Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,13:105158847
rs145964053-<b>A</b>,2 x 10-7,,0.02576,3.3,'-,[2.096-5.193],"PPP2R5E, GCATP1",Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,14:63558017
rs563061914-<b>G</b>,7 x 10-6,,0.01014,4.456,'-,[2.322-8.551],DTWD1,Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,15:49755304
rs78330668-<b>A</b>,6 x 10-6,,0.1661,1.823,'-,[1.406-2.364],"ARNT2, RNU6-380P",Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,15:80603000
rs571674178-<b>A</b>,7 x 10-7,,0.01272,4.382,'-,[2.44599999999999-7.849],"EFCAB3, TBC1D3P2",Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,17:62286593
rs140272419-<b>A</b>,4 x 10-6,,0.1009,2.069,'-,[1.519-2.82],"SIGLEC15, SLC14A1",Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,18:45779354
rs76141775-<b>T</b>,8 x 10-6,,0.03838,2.536,'-,[1.68699999999999-3.813],MC4R,Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,18:60380321
rs182325265-<b>A</b>,9 x 10-7,,0.01412,4.14,'-,[2.347-7.302],"ZNF516, LINC01893",Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,18:76260869
rs140013767-<b>G</b>,3 x 10-6,,0.02802,3.24,'-,[1.983-5.29299999999999],PTPRT,Ischemic stroke in diabetes mellitus,"Ischemic stroke, diabetes mellitus",GCST90014129,20:42663082
rs11124945-<b>G</b>,5 x 10-8,,0.19,7.61,'-,[3.39-17.09],PLEKHH2,Diabetes in response to antihypertensive drug treatment (treatment strategy interaction),"response to antihypertensive drug, diabetes mellitus, hypertension, response to beta blocker, response to calcium channel blocker",GCST003797,2:43650017
rs113296370-<b>C</b>,2 x 10-7,(European),0.19,8.83,'-,[8.01-9.65],"Y_RNA, PLEKHH2",Diabetes in response to antihypertensive drug treatment (treatment strategy interaction),"response to antihypertensive drug, diabetes mellitus, hypertension, response to beta blocker, response to calcium channel blocker",GCST003797,2:43636315
rs4833103-<b>?</b>,1 x 10-7,(European),0.5,5.26,'-,[4.63-5.89],TLR1,Diabetes in response to antihypertensive drug treatment (treatment strategy interaction),"response to antihypertensive drug, diabetes mellitus, hypertension, response to beta blocker, response to calcium channel blocker",GCST003797,4:38813881
rs689-<b>T</b>,1 x 10-160,,0.71,2.21,'-,[2.08-2.34],"INS, INS-IGF2",Type 1 diabetes,type I diabetes mellitus,GCST010681,11:2160994
rs2128344-<b>A</b>,8 x 10-12,,0.0055,2.12,'-,[1.71-2.63],LINC00320,Type 1 diabetes,type I diabetes mellitus,GCST010681,21:20724226
rs60587303-<b>C</b>,3 x 10-9,,0.0051,1.97,'-,[1.58-2.47],STK39,Type 1 diabetes,type I diabetes mellitus,GCST010681,2:168190122
rs192324744-<b>G</b>,2 x 10-11,,0.0131,1.63,'-,[1.41-1.88],LRP1B,Type 1 diabetes,type I diabetes mellitus,GCST010681,2:141543366
rs34536443-<b>G</b>,2 x 10-11,,0.0515,1.45,'-,[1.31-1.62],'-,Type 1 diabetes,type I diabetes mellitus,GCST010681,Mapping not available
rs2269247-<b>T</b>,1 x 10-10,,0.18,1.17,'-,[1.12-1.23],PGM1,Type 1 diabetes,type I diabetes mellitus,GCST010681,1:63641613
rs10751776-<b>C</b>,3 x 10-8,,0.509915,'-,0.07814535 unit increase,[0.051-0.106],"MIR4425, RUNX3",Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:24970252
rs574384-<b>A</b>,2 x 10-8,,0.894668,'-,0.13360222 unit decrease,[0.087-0.18],PSMB2,Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:35622060
rs12742756-<b>G</b>,4 x 10-8,,0.428204,'-,0.08310696 unit decrease,[0.054-0.113],INPP5B,Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:37881745
rs855330-<b>C</b>,5 x 10-11,,0.259422,'-,0.111207716 unit increase,[0.078-0.144],PGM1,Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:63648218
rs1493696-<b>A</b>,8 x 10-9,,0.13231,'-,0.12832591 unit increase,[0.085-0.172],NOTCH2,Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:119962909
rs570794153-<b>GA</b>,4 x 10-11,,0.139675,'-,0.14543974 unit decrease,[0.1-0.19],"ATP6V1G3, PTPRC",Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:198629260
rs12128789-<b>C</b>,4 x 10-9,,0.131779,'-,0.12696852 unit increase,[0.085-0.169],"LINC02773, BATF3",Type 1 diabetes,type I diabetes mellitus,GCST90014023,1:212679490
rs1881146-<b>T</b>,5 x 10-8,,0.310529,'-,0.09517027 unit decrease,[0.061-0.129],MIR3681HG,Type 1 diabetes,type I diabetes mellitus,GCST90014023,2:12494668
rs12464462-<b>G</b>,9 x 10-10,,0.410445,'-,0.0879553 unit decrease,[0.06-0.116],MIR4432HG,Type 1 diabetes,type I diabetes mellitus,GCST90014023,2:60409281
rs13018977-<b>A</b>,2 x 10-8,,0.224602,'-,0.100334994 unit increase,[0.065-0.135],SEPTIN2,Type 1 diabetes,type I diabetes mellitus,GCST90014023,2:241338592
rs12644686-<b>G</b>,2 x 10-8,,0.193778,'-,0.10774961 unit decrease,[0.07-0.146],LINC02362,Type 1 diabetes,type I diabetes mellitus,GCST90014023,4:184381748
rs114378220-<b>T</b>,5 x 10-9,,0.070292,'-,0.17790234 unit increase,[0.12-0.24],CAMK4,Type 1 diabetes,type I diabetes mellitus,GCST90014023,5:111230662
rs766751473-<b>T</b>,1 x 10-8,,0.40393,'-,0.080249354 unit increase,[0.053-0.108],IRF1-AS1,Type 1 diabetes,type I diabetes mellitus,GCST90014023,5:132431072
rs1050979-<b>G</b>,6 x 10-14,,0.515138,'-,0.106195554 unit increase,[0.079-0.134],IRF4,Type 1 diabetes,type I diabetes mellitus,GCST90014023,6:410417
rs7805218-<b>A</b>,9 x 10-9,,0.30774,'-,0.09541352 unit increase,[0.063-0.128],ITGB8,Type 1 diabetes,type I diabetes mellitus,GCST90014023,7:20339178
rs7795896-<b>T</b>,2 x 10-16,,0.691577,'-,0.13543522 unit decrease,[0.1-0.17],CFTR,Type 1 diabetes,type I diabetes mellitus,GCST90014023,7:117446559
rs1947178-<b>G</b>,2 x 10-9,,0.791944,'-,0.10326733 unit decrease,[0.07-0.137],TOX,Type 1 diabetes,type I diabetes mellitus,GCST90014023,8:58959618
rs13259300-<b>C</b>,3 x 10-10,,0.598278,'-,0.0921915 unit decrease,[0.063-0.121],COLEC10,Type 1 diabetes,type I diabetes mellitus,GCST90014023,8:119070702
rs3802214-<b>C</b>,3 x 10-8,,0.798827,'-,0.10660862 unit decrease,[0.069-0.144],AGO2,Type 1 diabetes,type I diabetes mellitus,GCST90014023,8:140606084
rs541856133-<b>T</b>,4 x 10-17,,0.001509,'-,1.1022301 unit increase,[0.85-1.36],"CEL, GTF3C5",Type 1 diabetes,type I diabetes mellitus,GCST90014023,9:133060938
rs537544-<b>T</b>,9 x 10-9,,0.615565,'-,0.08641077 unit decrease,[0.057-0.116],GATA3,Type 1 diabetes,type I diabetes mellitus,GCST90014023,10:8066419
rs78325861-<b>G</b>,2 x 10-11,,0.039037,'-,0.2820823 unit decrease,[0.2-0.36],"PRF1, ADAMTS14",Type 1 diabetes,type I diabetes mellitus,GCST90014023,10:70618733
rs140215710-<b>A</b>,4 x 10-8,,0.010339,'-,0.412643 unit increase,[0.27-0.56],"CDKN1C, KCNQ1DN",Type 1 diabetes,type I diabetes mellitus,GCST90014023,11:2881830
rs7936434-<b>C</b>,4 x 10-8,,0.464277,'-,0.07692268 unit increase,[0.05-0.104],"EMSY, LINC02757",Type 1 diabetes,type I diabetes mellitus,GCST90014023,11:76582761
rs607703-<b>T</b>,1 x 10-10,,0.484409,'-,0.09201457 unit increase,[0.064-0.12],FLI1,Type 1 diabetes,type I diabetes mellitus,GCST90014023,11:128734279
rs7301381-<b>C</b>,5 x 10-11,,0.463691,'-,0.09358772 unit decrease,[0.066-0.122],KLRG1,Type 1 diabetes,type I diabetes mellitus,GCST90014023,12:8971336
rs238265-<b>G</b>,2 x 10-9,,0.695162,'-,0.09082453 unit decrease,[0.061-0.121],LINC02341,Type 1 diabetes,type I diabetes mellitus,GCST90014023,13:42356523
rs4238595-<b>C</b>,2 x 10-11,,0.680478,'-,0.11213453 unit decrease,[0.079-0.145],"GP2, UMOD",Type 1 diabetes,type I diabetes mellitus,GCST90014023,16:20331769
rs8046043-<b>C</b>,2 x 10-8,,0.391629,'-,0.08458667 unit decrease,[0.055-0.114],'-,Type 1 diabetes,type I diabetes mellitus,GCST90014023,16:80250127
rs61759532-<b>T</b>,2 x 10-10,,0.234556,'-,0.11837882 unit increase,[0.082-0.155],ACAP1,Type 1 diabetes,type I diabetes mellitus,GCST90014023,17:7337072
rs11651753-<b>T</b>,1 x 10-9,,0.41983,'-,0.08688845 unit decrease,[0.059-0.115],"PNPO, PRR15L",Type 1 diabetes,type I diabetes mellitus,GCST90014023,17:47951723
rs57209021-<b>T</b>,4 x 10-8,,0.225582,'-,0.1006932 unit increase,[0.065-0.137],"ARHGAP27P2, RDM1P3",Type 1 diabetes,type I diabetes mellitus,GCST90014023,17:68168777
rs74203920-<b>T</b>,2 x 10-8,,0.019793,'-,0.3138792 unit increase,[0.2-0.42],AIRE,Type 1 diabetes,type I diabetes mellitus,GCST90014023,21:44294411
rs7533564-<b>C</b>,2 x 10-9,,'-,'-,0.138 unit increase,[0.093-0.183],"PTGFR, MGC27382",Skin fluorescence in type 1 diabetes,"skin fluorescence measurement, type I diabetes mellitus",GCST003418,1:78360228
rs17206992-<b>G</b>,6 x 10-6,(EA),0.057,2.32,'-,[NR],GALNT13,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,2:154368670
rs113517532-<b>AGAT</b>,2 x 10-6,(EA),0.106,1.75,'-,[NR],LINC01117,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,2:176780863
rs73018809-<b>T</b>,2 x 10-7,(EA),0.024,3.5,'-,[NR],NUP210,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,3:13329174
rs28641753-<b>T</b>,2 x 10-7,(EA),0.071,2.1,'-,[NR],'-,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,3:104256574
rs78031527-<b>T</b>,5 x 10-6,(EA),0.201,1.7,'-,[NR],"C4orf50, JAKMIP1",Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,4:6169503
rs143537377-<b>C</b>,8 x 10-6,(EA),0.096,1.88,'-,[NR],LINC02212,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,5:10500534
rs115829748-<b>T</b>,1 x 10-9,(EA),0.04,3.16,'-,[NR],MAP1B,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,5:72098560
rs9354144-<b>A</b>,6 x 10-6,(EA),0.105,1.71,'-,[NR],'-,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,6:94847753
rs571622299-<b>A</b>,6 x 10-6,(EA),0.015,4.12,'-,[NR],KCNB2,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,8:72930288
rs143723948-<b>T</b>,6 x 10-7,(EA),0.499,1.65,'-,[NR],PAX5,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,9:37034098
rs117826205-<b>C</b>,6 x 10-6,(EA),0.026,2.72,'-,[NR],MALRD1,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,10:19168458
rs61879614-<b>C</b>,3 x 10-6,(EA),0.048,2.94,'-,[NR],TUB,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,11:8058878
rs34319244-<b>C</b>,3 x 10-6,(EA),0.44,1.51,'-,[NR],"SPNS3, UBE2G1",Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,17:4424870
rs113114656-<b>T</b>,2 x 10-6,(EA),0.04,2.67,'-,[NR],SMAD2,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,18:47872985
rs67213764-<b>G</b>,9 x 10-6,(EA),0.261,1.48,'-,[NR],LINC01683,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,21:19974842
rs12482425-<b>G</b>,9 x 10-6,(EA),0.686,1.5151515,'-,[NR],'-,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,21:23556791
rs373009901-<b>C</b>,9 x 10-6,(EA),0.019,3.94,'-,[NR],GRK3,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,22:25592812
rs138760780-<b>T</b>,9 x 10-6,(EA),0.018,3.48,'-,[NR],CDK18,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,1:205515245
rs12344245-<b>G</b>,9 x 10-6,(EA),0.035,2.52,'-,[NR],FAM189A2,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,9:69340801
rs12344245-<b>G</b>,9 x 10-6,,0.035,1.85,'-,[1.41-2.43],FAM189A2,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,9:69340801
rs138760780-<b>T</b>,2 x 10-6,,0.018,2.6,'-,[1.75-3.85],CDK18,Coronary artery disease in type 1 diabetes,"type I diabetes mellitus, coronary artery disease",GCST006281,1:205515245
rs3864055-<b>T</b>,6 x 10-6,,NR,1.79,'-,[1.39-2.31],"ARL8B, Y_RNA",Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,3:5093886
rs12644905-<b>C</b>,4 x 10-6,,NR,1.91,'-,[1.45-2.52],"CENPU, ACSL1",Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,4:184755529
rs12203596-<b>C</b>,6 x 10-6,,NR,2.84,'-,[1.78-4.53],STMND1,Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,6:17120009
rs9356171-<b>A</b>,9 x 10-6,,NR,1.9,'-,[1.43-2.52],RN7SL366P,Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,6:163922743
rs7871386-<b>C</b>,5 x 10-6,,NR,2.54,'-,[1.69-3.83],'-,Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,9:23166744
rs5790666-<b>?</b>,8 x 10-9,,NR,2.32,'-,[1.65-3.26],"BDNF, CBX3P1",Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,11:27778324
rs11170445-<b>T</b>,8 x 10-9,,NR,1.96,'-,[1.56-2.46],"HIGD1AP1, EIF4A1P4",Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,12:53151908
rs178050-<b>A</b>,7 x 10-6,,NR,1.66,'-,[1.33-2.07],PI4KA,Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,22:20814301
rs9268853-<b>?</b>,2 x 10-23,,NR,3.18,'-,[2.53-4.01],HLA-DRB9,Fulminant type 1 diabetes,type I diabetes mellitus,GCST007433,6:32461866
rs7190256-<b>?</b>,3 x 10-11,,NR,'-,'-,'-,ZFHX3,"Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,16:72963084
rs8082812-<b>?</b>,5 x 10-67,,NR,'-,'-,'-,"AKR1B1P6, THEMIS3P","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,18:8522684
