Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs4665972-<b>C</b>,1 x 10-17,,0.6082,'-,0.026 unit decrease,[0.020-0.032],'-,Urinary sodium to potassium ratio,urinary sodium to potassium ratio,GCST007717,Mapping not available
rs1260326-<b>C</b>,2 x 10-21,,0.6082,'-,0.029 unit decrease,[0.023-0.035],'-,Urinary sodium to creatinine ratio,urinary sodium to creatinine ratio,GCST007778,Mapping not available
rs1047891-<b>A</b>,3 x 10-18,,0.3151,'-,0.028 unit decrease,[0.023-0.035],CPS1,Urinary sodium to creatinine ratio,urinary sodium to creatinine ratio,GCST007778,2:210675783
rs1047891-<b>A</b>,1 x 10-27,,0.3151,'-,0.033 unit decrease,[0.027-0.039],CPS1,Urinary potassium to creatinine ratio,urinary potassium to creatinine ratio,GCST007721,2:210675783
rs4973766-<b>T</b>,6 x 10-14,,0.4558,'-,0.021 unit decrease,[0.015-0.027],"NEK10, SLC4A7",Urinary potassium to creatinine ratio,urinary potassium to creatinine ratio,GCST007721,3:27372075
rs34783010-<b>T</b>,1 x 10-13,,0.1933,'-,0.026 unit increase,[0.018-0.034],GIPR,Urinary potassium to creatinine ratio,urinary potassium to creatinine ratio,GCST007721,19:45677156
rs35335867-<b>CT</b>,9 x 10-14,,0.2485,'-,0.024 unit decrease,[0.018-0.030],GATM,Urinary potassium to creatinine ratio,urinary potassium to creatinine ratio,GCST007721,15:45400967
rs7260538-<b>T</b>,2 x 10-31,,NR,'-,0.52 unit decrease,[0.44-0.60],CYP2B6,"DDT metabolite (p,p'-DDE levels)",DDT metabolite measurement,GCST003923,19:41008135
rs7255374-<b>?</b>,1 x 10-19,,NR,'-,0.44 unit increase,[0.34-0.54],CYP2B6,"DDT metabolite (p,p'-DDE levels)",DDT metabolite measurement,GCST003923,19:41014446
rs5760092-<b>?</b>,3 x 10-9,"(MHBMA, AA)",NR,'-,'-,'-,MIF-AS1,"Urinary 1,3-butadiene metabolite levels in smokers","smoking status measurement, urinary 1,3-butadiene measurement",GCST004254,22:23897951
rs6004031-<b>?</b>,5 x 10-9,"(MHBMA, Japanese)",NR,'-,'-,'-,'-,"Urinary 1,3-butadiene metabolite levels in smokers","smoking status measurement, urinary 1,3-butadiene measurement",GCST004254,Mapping not available
rs6004031-<b>?</b>,1 x 10-23,(MHBMA),NR,'-,'-,'-,'-,"Urinary 1,3-butadiene metabolite levels in smokers","smoking status measurement, urinary 1,3-butadiene measurement",GCST004254,Mapping not available
