ID,Imprint,Status,Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,analysis_id,Grouping
13,ZFAT,Paternal,Standing height,50,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280946,,2.37E-07,0.011722551,continuous-50-both_sexes--irnt,Anthropometric
14,ZFAT,Paternal,Seated height,51,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,6.62E-07,0.012900196,continuous-51-both_sexes--irnt,Anthropometric
15,ZFAT,Paternal,Sitting height,20015,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,1.18958E-06,0.012191487,continuous-20015-both_sexes--irnt,Anthropometric
28,SMOC1,Maternal,Sitting height,20015,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,4.98E-05,-0.013757699,continuous-20015-both_sexes--irnt,Anthropometric
24,RB1,Maternal,White blood cell (leukocyte) count,30000,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273541,,1.00429E-05,0.036423749,continuous-30000-both_sexes--irnt,Blood
25,RB1,Maternal,Mean reticulocyte volume,30260,continuous,,Biological samples > Assay results > Blood assays > Blood count,,268453,,3.89228E-05,0.043651409,continuous-30260-both_sexes--irnt,Blood
26,RB1,Maternal,Lymphocyte percentage,30180,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,8.85288E-05,0.029168735,continuous-30180-both_sexes--irnt,Blood
47,DSCAM,Paternal,Platelet count,30080,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273542,,3.53709E-05,0.029922985,continuous-30080-both_sexes--irnt,Blood
16,ZFAT,Paternal,O14.2 Sentinel lymph node,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2064,151284,2.24831E-05,0.102942977,categorical-41210-both_sexes-O142-,Cancer
10,MEST,Paternal,I34 Nonrheumatic mitral valve disorders,131322,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,2445,279140,5.75E-07,0.18398555,icd_first_occurrence-131322-both_sexes--,Cardiovascular
11,MEST,Paternal,I47 Paroxysmal tachycardia,131348,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,3399,278186,2.65257E-05,0.154185183,icd_first_occurrence-131348-both_sexes--,Cardiovascular
33,ATP10A,Maternal,K25 Gastric ulcer,131590,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,5726,275859,1.88E-06,0.052398754,icd_first_occurrence-131590-both_sexes--,Digestive System
39,CMTM1,Paternal,Atorvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,8252,273291,8.76E-05,0.040207706,categorical-20003-both_sexes-1141146234-,Drug Response
46,DSCAM,Paternal,Co-codamol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,6582,274961,8.29893E-06,0.141113252,categorical-20003-both_sexes-1140923346-,Drug Response
31,MKRN3,Paternal,Age when periods started (menarche),2714,continuous,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,149031,,6.56E-05,-0.002597689,continuous-2714-both_sexes--,Female reproductive system
38,CMTM1,Paternal,Age at death,40007,continuous,,Health-related outcomes > Death register,,7730,,1.52E-07,0.025154214,continuous-40007-both_sexes--irnt,Longevity
35,SNRPN,Paternal,Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243015,,2.90E-05,0.065697008,continuous-30850-both_sexes--irnt,Male reproductive system
1,TP73,Maternal,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,20407,continuous,,Online follow-up > Mental health > Alcohol use,,51479,,4.43E-22,0.016892525,continuous-20407-both_sexes--,Mental or Behavioural Disorder
2,TP73,Maternal,Recent easy annoyance or irritability,20505,continuous,,Online follow-up > Mental health > Anxiety,,92891,,9.63016E-05,0.009065144,continuous-20505-both_sexes--,Mental or Behavioural Disorder
3,LRRTM1,Paternal,Recent feelings of depression,20510,continuous,,Online follow-up > Mental health > Depression,,93049,,1.52522E-05,0.048631503,continuous-20510-both_sexes--,Mental or Behavioural Disorder
7,DLX5,Maternal,Frequency of difficulty controlling worry during worst period of anxiety,20537,continuous,,Online follow-up > Mental health > Anxiety,,28762,,2.43255E-06,-0.080580548,continuous-20537-both_sexes--,Mental or Behavioural Disorder
12,MEST,Paternal,Recent poor appetite or overeating,20511,continuous,,Online follow-up > Mental health > Depression,,93231,,4.86098E-05,0.018446933,continuous-20511-both_sexes--,Mental or Behavioural Disorder
18,ANO1,Maternal,Frequency of memory loss due to drinking alcohol in last year,20408,continuous,,Online follow-up > Mental health > Alcohol use,,51455,,5.86E-05,0.007248752,continuous-20408-both_sexes--,Mental or Behavioural Disorder
21,NTM,Maternal,Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,51410,,2.93E-05,0.041713186,continuous-20413-both_sexes--,Mental or Behavioural Disorder
22,ST8SIA1,Paternal,Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,51410,,4.72E-07,0.045727924,continuous-20413-both_sexes--,Mental or Behavioural Disorder
23,ST8SIA1,Paternal,Frequency of feeling guilt or remorse after drinking alcohol in last year,20409,continuous,,Online follow-up > Mental health > Alcohol use,,51440,,5.50E-06,0.043635842,continuous-20409-both_sexes--,Mental or Behavioural Disorder
27,SMOC1,Maternal,Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,51410,,2.08E-05,0.031900003,continuous-20413-both_sexes--,Mental or Behavioural Disorder
30,UBE3A,Maternal,Frequency of feeling guilt or remorse after drinking alcohol in last year,20409,continuous,,Online follow-up > Mental health > Alcohol use,,51440,,1.32E-05,0.043775345,continuous-20409-both_sexes--,Mental or Behavioural Disorder
32,NPAP1,Paternal,Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,4.31E-06,,continuous-1239-both_sexes--,Mental or Behavioural Disorder
36,NAA60,Maternal,Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,51410,,4.49E-06,0.023911357,continuous-20413-both_sexes--,Mental or Behavioural Disorder
37,ZNF597,Maternal,Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,3.94E-05,0.042905517,continuous-1239-both_sexes--,Mental or Behavioural Disorder
41,BLCAP,Isoform Dependent,Recent poor appetite or overeating,20511,continuous,,Online follow-up > Mental health > Depression,,93231,,5.29E-05,,continuous-20511-both_sexes--,Mental or Behavioural Disorder
42,BLCAP,Isoform Dependent,Recent inability to stop or control worrying,20509,continuous,,Online follow-up > Mental health > Anxiety,,92989,,6.80E-05,,continuous-20509-both_sexes--,Mental or Behavioural Disorder
43,BLCAP,Isoform Dependent,Recent feelings or nervousness or anxiety,20506,continuous,,Online follow-up > Mental health > Anxiety,,92999,,9.67E-05,,continuous-20506-both_sexes--,Mental or Behavioural Disorder
44,DSCAM,Paternal,Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,1.37E-09,0.017922756,continuous-1239-both_sexes--,Mental or Behavioural Disorder
45,DSCAM,Paternal,F10 Mental and behavioural disorders due to use of alcohol,130854,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,5462,276123,5.98679E-06,0.156882188,icd_first_occurrence-130854-both_sexes--,Mental or Behavioural Disorder
48,DSCAM,Paternal,Townsend deprivation index at recruitment,189,continuous,,Population characteristics > Baseline characteristics,,281251,,6.45899E-05,0.030662318,continuous-189-both_sexes--irnt,Mental or Behavioural Disorder
4,GPR1,Paternal,Mean FA in retrolenticular part of internal capsule on FA skeleton (left),25077,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,3.87E-05,-0.073427417,continuous-25077-both_sexes--irnt,Nervous System
5,DDC,Isoform Dependent,Mean L1 in external capsule on FA skeleton (right),25232,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,4.48E-05,-0.094924759,continuous-25232-both_sexes--irnt,Nervous System
8,CCDC71L,Paternal,Volume of grey matter in Planum Polare (left),25868,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,2.41E-05,,continuous-25868-both_sexes--irnt,Nervous System
17,KCNQ1,Maternal,Volume of peripheral cortical grey matter (normalised for head size),25001,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI,,16052,,3.48E-05,-0.024622352,continuous-25001-both_sexes--irnt,Nervous System
19,ZC3H12C,Paternal,Other neurological problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1129,280414,3.43E-05,0.158239359,categorical-20002-both_sexes-1434-,Nervous System
20,ZC3H12C,Paternal,"G98 Other disorders of nervous system, not elsewhere classified",131124,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,1171,280414,4.23E-05,0.155641566,icd_first_occurrence-131124-both_sexes--,Nervous System
9,CPA4,Maternal,Osteoarthritis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,23012,258531,3.26602E-05,0.011094229,categorical-20002-both_sexes-1465-,Orthopaedic
34,ATP10A,Maternal,Bone surgery/joint surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2254,279289,9.41E-05,0.065188394,categorical-20004-both_sexes-1296-,Orthopaedic
29,DLK1,Paternal,"Forced expiratory volume in 1-second (FEV1), predicted",20153,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,84144,,5.16E-05,-0.023643381,continuous-20153-both_sexes--irnt,Respiratory
40,ZFP90,Paternal,Emphysema/chronic bronchitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3840,277703,5.42E-05,0.083073154,categorical-20002-both_sexes-1113-,Respiratory
6,HECW1,Paternal,Retinal operation/vitrectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1697,279846,7.10449E-05,0.105842696,categorical-20004-both_sexes-1437-,Sensory System
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
